"Symbol","n","MiaPACA2_EV","MiaPACA2_EV.Detection_Pval","MiaPACA2_ARHGEF10","MiaPACA2_ARHGEF10.Detection_Pval","Hs766T_shGFP","Hs766T_shGFP.Detection_Pval","Hs766T_shARHGEF10","Hs766T_shARHGEF10.Detection_Pval"
"ASPM",1,1649.7,0,10084.5,0,9119.9,0,1252.9,0
"ASPN",1,134.7,0,243.3,0.96897,349.7,0.07241,127.2,0.41724
"ASPRV1",1,131.9,0,894.8,0,878.5,0,144.8,0.08276
"ASPSCR1",2,758.6,0.00517,9077,0,9477,0,1510.45,0.001725
"ASRGL1",1,158.8,0,511.9,0,402.6,0.01034,141.9,0.12069
"ASS1",3,549.533333333333,0,5727.66666666667,0,9692.63333333333,0,4289.93333333333,0
"ASTE1",1,109.4,0.50345,1285.1,0,1608.2,0,133.3,0.28621
"ASTL",1,106,0.72759,299.7,0.16207,280.8,0.81379,134.7,0.25862
"ASTN1",2,105.25,0.70517,256.7,0.83103,309.25,0.368965,125.65,0.467245
"ASTN2",3,302.366666666667,0,4848.53333333333,0,4019.26666666667,0,267.6,0.00574666666666667
"ASXL1",1,1206.7,0,4919.8,0,9382.2,0,5140.9,0
"ASXL2",1,1577.5,0,7153.8,0,7402.2,0,2506,0
"ASZ1",2,107.3,0.563795,283.9,0.344825,282.4,0.781035,115.8,0.79483
"ATAD1",2,474.25,0,7955.8,0,13101.2,0,1244.75,0
"ATAD2",1,1451.7,0,12555.1,0,13379,0,1724.1,0
"ATAD2B",1,139,0,633.8,0,524.7,0.0069,146.9,0.05862
"ATAD3A",1,539.7,0,5255.7,0,10180.5,0,2650.8,0
"ATAD3B",1,448.6,0,5068,0,10132.7,0,1668.3,0
"ATAD3C",1,158.7,0,396.6,0.00345,381.7,0.01724,140.1,0.14138
"ATAD5",1,138.2,0,754.1,0,843.6,0,160.2,0.01724
"ATCAY",1,100.9,0.91724,291.7,0.24828,350.5,0.07241,126.2,0.45517
"ATE1",4,360,0.08362,4467.325,0,6455.825,0,778.875,0.006035
"ATF1",1,315.7,0,4636.6,0,5436.4,0,573.1,0
"ATF2",1,2872.8,0,17649.7,0,20939.4,0,4455.8,0
"ATF3",3,605.833333333333,0.191953333333333,2793.9,0.15977,1686.53333333333,0.04253,517.933333333333,0.0735633333333333
"ATF4",3,6982.6,0,14658.4,0,15263,0,8679.6,0
"ATF5",1,1975.1,0,4920.1,0,2791.6,0,849.3,0
"ATF6",1,6393.4,0,19648.6,0,19529.1,0,8769.4,0
"ATF6B",2,696.4,0,6662.7,0,9549.1,0,2138.7,0
"ATF7",1,110.8,0.41034,298.4,0.16897,309.7,0.36207,129.4,0.34828
"ATF7IP",1,117.9,0.11034,2517.9,0,1098.8,0,145.8,0.06897
"ATF7IP2",1,252.9,0,834.6,0,3185,0,332.2,0
"ATG10",1,1222.6,0,7102.5,0,6785.5,0,1528.8,0
"ATG12",1,2167,0,17104,0,24545.1,0,3888,0
"ATG16L1",2,3616.85,0,14645.4,0,19416.8,0,6156.35,0
"ATG16L2",1,135.6,0,988.7,0,1412.3,0,181.1,0.00345
