"","GSM1385013.REP1","GSM1385014.REP2","GSM1385015.REP2","GSM1385016.CTRL","GSM1385017.CBD"
"NLRP14",-1.10663052,0.2703587,-0.20388119,2.9891,3.211379
"NRF1",-0.22201249,-0.7997962,-0.90901743,5.3669,5.436087
"HSPC159",0.83682419,0.6298132,0.73709822,8.9546,8.868989
"ATP1B4",0.46016186,-0.192472,0.1264031,2.6088,2.593155
"METTL5",0.05281755,0.3974728,0.46731112,12.0475,12.018156
"SLTM",0.146792,0.146822,0.25420685,8.4659,8.303909
"SLC25A13",-0.32946669,0.8604738,0.37281435,9.2462,8.878486
"NIT1",-0.31735434,-0.4646067,-0.46453809,8.9627,9.206189
"UNC5C",0.17801244,-1.1920454,-0.54337985,3.6197,3.313889
"C6orf103",-0.98425491,-0.0186219,-0.82869418,2.9891,3.452668
"C20orf103",0.24878655,2.3030107,0.48850207,3.1009,3.368842
"CHD5",1.13392967,1.043248,-0.42961293,2.5009,2.669062
"BZRAP1",0.28978831,-0.0006667,-1.07802622,4.1454,3.945592
"SERTAD2",-0.72506651,-0.9456688,-1.29970726,6.306,6.366137
"DPP4",1.20664572,0.2076451,0.47714557,4.7111,4.569836
"PEX16",-1.13373923,-1.1282484,-1.03399849,6.6704,6.850637
"SKIV2L",-0.68044713,-0.4903777,-0.60405227,8.0987,7.817339
"RDH13",-0.78146045,-0.4341556,-0.4195121,6.4223,6.211887
"KRTCAP3",-0.42473873,-0.4317707,-0.65459552,9.1623,9.667134
"NCAPH2",-0.53336385,-0.7439082,-0.66165075,7.5138,7.317275
"DNAJC15",0.26177294,0.4962967,0.68115128,12.2582,12.122915
"GSDMC",0.1200621,1.0435625,1.00218821,5.44,5.529853
"MEGF9",1.01655366,0.4924544,0.59383307,6.5183,6.154148
"EREG",-0.29042435,0.9830587,0.27573527,8.255,7.792061
"TLN2",-1.56340995,-0.607437,-0.3137734,5.6039,6.020658
"SOCS3",0.44097234,-0.9353593,-0.76831478,8.126,8.339639
"LHX1",-0.92590521,-0.8559439,-0.56850443,7.8638,7.670908
"BLM",0.44569887,0.9903778,0.89690076,10.2787,10.221217
"TXNDC16",1.58369232,1.0254598,0.39924703,6.2067,5.982467
"ANXA4",0.32801702,1.1835486,1.24944575,9.5017,9.347957
"FDXACB1",-0.36032771,0.1419991,0.39115506,3.7327,3.400504
"SYNCRIP",0.38402824,0.5988825,0.75862568,11.7177,11.106302
"LDLRAD1",-0.21275196,1.094643,-0.34058054,3.5587,4.048525
