"","GSM1385013.REP1","GSM1385014.REP2","GSM1385015.REP2","GSM1385016.CTRL","GSM1385017.CBD"
"APOBEC3B",0.78307759,-1.3045475,-1.14833464,9.4558,9.933702
"ATP11B",1.34389721,0.1144673,0.50078043,5.8743,6.175588
"DNAJA1",0.50065999,0.5446841,0.77750226,12.3994,12.270819
"RPL23",-0.43799284,0.2991079,0.06401809,14.6032,14.570065
"RPS13",-0.2308213,0.0926004,-0.00706945,14.7999,14.696175
"HDDC3",-0.77624961,-0.5213366,-0.49900491,9.6207,9.878632
"ITPRIPL2",0.30379997,1.2611559,1.00445053,10.0948,9.92448
"MEGF11",-0.08098935,-0.3581799,0.31684191,3.6971,3.313889
"APBA3",-0.45227386,-1.0526728,-1.33091701,5.9968,6.158736
"CRCP",-0.81583604,-0.1112549,0.92541629,6.2316,6.086622
"C19orf15",0.11261001,-0.5933898,0.20219602,3.4544,3.61357
"KBTBD4",0.07373443,-0.2497345,0.03705096,8.1064,7.817339
"LRP1",0.00503608,-0.1022007,-0.00972477,5.5677,5.964528
"TSC1",0.80915134,0.4923473,0.37699442,8.4524,8.059438
"ADORA3",-0.22334844,-0.6051327,0.25756534,3.2249,3.452668
"GOLGA3",0.34993866,0.6170353,0.65795207,9.9223,10.096005
"CDH6",0.17790717,-0.5016318,0.4195704,3.4544,3.490365
"VASH1",0.13374682,-0.0365655,-0.21375701,6.2384,5.982467
"SRF",-0.94862064,-0.7240873,-0.91979987,5.5008,5.304616
"BBX",0.05332363,-0.8571524,0.56828633,6.9946,6.68036
"SLC7A1",-0.09339365,-0.7921155,-0.74221444,9.7643,10.080657
"MAB21L2",0.41086873,0.7476526,0.06222379,4.3616,4.339804
"EPHA2",-0.96746346,-0.0397148,0.63382795,9.0103,9.110337
"SYT2",-0.60952197,-0.2069982,-0.50644377,4.8333,4.856294
"TMEM97",-0.14608885,-0.2210906,-0.02745082,8.5933,8.366731
"SET",-0.65113614,1.0765593,0.53962834,10.2758,10.225903
"SP5",-0.15431773,-1.2985075,-1.78233459,4.9886,5.007605
"IFNG",0.13932138,-0.2343012,1.07175923,3.366,3.490365
"OR8D1",-1.03540971,-1.37591,0.34544919,3.4886,3.61357
"BOK",-0.74271243,-0.0700829,-0.14877481,9.3443,9.531994
"C6orf120",-0.30180639,-0.2845916,-0.67859525,7.1474,7.243073
"NLE1",-1.53700636,-0.9140165,-1.29351713,9.8766,10.056567
"RRM1",0.99644295,1.5036523,1.18283368,12.1079,12.252704
"UBE2K",0.67283605,0.8610473,0.68330744,9.2462,8.986435
"C1orf115",-0.18960023,-0.4525758,0.18145408,4.3944,4.600213
"HSPD1",-0.72653832,0.2434725,0.96380399,8.7539,8.972031
"ATP6V1C2",-0.68728158,-0.4986619,0.40679792,5.7746,5.988409
"NRL",-1.12035823,-1.6623896,-1.70744644,4.3412,4.613079
"BRD3",0.65505229,-0.0731757,-0.16099178,8.8549,8.876446
"COX18",0.75852829,-0.5454658,0.24816112,5.0502,4.797867
"TSHR",0.06912765,-0.8887893,-0.23287499,2.9373,3.490365
"OR12D2",-0.59985045,0.0148334,-0.32023788,3.3128,3.490365
"LRP10",-0.32779426,-0.9240993,-0.63719668,5.6487,5.576236
"PRRG2",-0.43900043,-0.4288609,-0.32855164,5.9581,5.807456
"GJB2",-0.00059255,-0.9882158,-1.36854332,7.9881,8.611511
"ORMDL3",-0.24807123,-0.2723706,-0.16077099,11.8241,11.626692
"FAM134A",-0.87630171,-0.5472158,-0.92805449,6.9086,6.843194
"TUT1",-0.92088508,-0.80344,-1.03138822,6.9334,7.160189
"SERPINB5",0.09346917,1.467775,1.62006509,6.9637,6.952577
"ASPA",-0.01942427,-1.0324877,-0.52778534,2.1035,2.669062
"ATP8B1",0.98803095,0.0618999,0.0680287,6.1496,6.1701
"CYP2E1",-0.49379807,0.2851277,0.24816112,3.1484,3.575997
"DNTTIP2",0.75531157,-0.0266854,0.04958154,11.461,11.093875
"C6orf81",-0.04121304,-2.5176062,0.7911683,2.9373,3.400504
"GATAD2A",-0.14485605,-0.1982005,-0.48075717,8.5137,7.651222
"RPL18",0.01493822,-0.3684004,-0.65106565,13.7315,13.758984
"CEBPG",-1.49368301,-0.9838632,-0.94523622,10.5778,11.809797
"YARS",-1.60240555,-1.8972129,-1.28935918,8.3667,9.199538
"MASP1",0.24124034,-0.5016318,0.29055613,3.4544,3.490365
"ADRB2",-0.67333517,-0.2613492,-0.29716582,10.4393,9.639414
"RHOF",-0.62425253,-0.330356,-0.38244748,8.6381,8.766728
"CNOT8",1.30712834,0.2803124,0.09326218,8.7046,9.053687
"PRKAA2",-0.53908456,0.7287971,0.71889279,3.961,4.100013
"ATG5",0.23066447,1.615092,1.35958182,9.5348,9.21046
"SERP1",0.65895729,1.2216259,1.00063631,7.4679,7.826741
"MAOB",0.5990089,-0.6519516,-0.26601722,2.9373,2.289684
"CASD1",1.11434511,0.5902026,-0.0123938,3.3128,3.534091
"FASLG",-0.76776038,-0.2850933,0.54983982,3.1484,3.211379
"WAPAL",0.84855257,1.2287709,1.06778405,9.6533,9.654257
"PANX1",-0.45183089,-0.5913332,-0.51971858,8.2212,8.417724
"PAQR4",-0.85734656,-0.7967573,-0.56087598,6.822,6.704346
"HSD11B2",-0.12113409,-2.1249893,-1.91330214,5.8811,6.012033
"NEB",0.32134379,-1.1127835,0.46415853,3.1484,3.211379
"MYH15",-0.09669827,-0.9141289,0.81188402,3.757,3.945592
"CLOCK",1.04821118,0.7866629,1.5028964,6.7632,6.517475
"C1GALT1",0.60324387,1.0049652,0.75391475,8.0333,7.764299
"TRIM36",-0.27437425,-0.7516201,0.76683126,3.9799,4.532882
"CXCL2",-1.39576705,-0.0050314,-0.10125766,9.2924,9.956094
"S100PBP",0.05885239,-1.162469,-0.99975668,8.9017,9.155312
"TBC1D14",0.23310149,0.6976462,0.70802202,9.6629,9.617073
"CD1A",0.02489214,-0.8702394,-0.20835428,3.1484,3.368842
"C6orf62",0.2491233,2.0813497,1.97705692,11.0748,10.68791
"NFKBIB",-0.56639931,-1.2361512,-1.45455737,8.3288,8.271876
"ENAH",-0.70618218,-0.508975,-0.61191291,8.1591,8.001437
"KCNJ15",-0.28440746,-0.6403572,-0.71154554,6.6789,6.258311
"BLK",-0.26838829,-0.6594805,-0.25450938,3.3128,3.154883
"ZNF556",1.25835979,0.163498,0.66192677,3.3886,3.026482
"NR1H2",-0.46967988,-0.6918999,-0.96980951,9.1439,8.999903
"MAP4K5",0.25753358,0.9607975,0.73391381,8.3774,8.179878
"ATPAF2",-0.56618105,-1.1359322,-1.26207307,8.6803,8.808009
"PPP2R2C",0.46366064,-0.775017,-0.63910347,3.5271,4.100013
"NSUN7",0.31900701,0.0498649,0.26496057,5.3336,5.669014
"AASDHPPT",0.13295588,0.8821825,1.00746727,10.0676,9.771983
"SHOX2",0.1375413,-0.2190316,-0.30588536,4.0863,4.048525
"HCFC1",0.30928528,-0.7601765,0.07962428,5.248,5.227866
"SDK1",0.10408725,-0.2971017,-0.12702895,3.8998,3.890546
"IL2RA",-0.34239267,1.7759789,0.63023272,2.4362,2.912117
"GGA1",-0.1514928,-0.9256456,-0.96151715,12.0128,12.348189
"MAP3K2",0.76409083,0.7058381,0.869676,7.2059,7.217885
"DYNLT3",-0.56259566,-0.3231935,-0.97696317,6.827,7.486278
"CPSF6",-0.35373838,0.1399144,0.24526934,9.8335,9.295733
"POLE2",0.29216893,1.7762406,1.18619192,7.4018,7.859683
"ACVRL1",0.16421302,0.1214255,-1.40559624,3.3128,3.400504
"LRRC4",0.17790717,-0.947582,0.22785194,3.8075,3.802131
"CCND1",-0.43197457,0.3157701,0.75367313,9.2766,9.125915
"SAR1B",0.53051595,0.5107769,0.37671706,10.282,9.954644
"IMP3",-0.74823394,0.4231309,0.22992194,9.9902,9.977377
"BRCA2",0.70074598,-1.021003,1.18469579,6.3711,6.525105
"RAB5C",-0.38533973,-0.8376337,-0.66501991,7.7675,7.540041
"MEIG1",0.28519338,-0.7627642,-0.84380788,5.2583,4.907378
"MKL1",-0.56952502,-0.4452599,-0.78369829,7.3533,7.367335
"CENPN",-0.14666529,0.5331385,0.24230708,9.1058,8.931956
"AHCTF1",0.25105034,0.2652281,0.04970631,7.8886,7.687308
"KRT71",-0.8481421,-0.1808404,-0.25450938,3.8998,4.120199
"ACP1",0.67239365,0.5988683,0.94062423,10.7199,10.811539
"PAK2",0.70962667,0.4124041,1.08102354,7.2583,7.211241
"ALDH4A1",-0.35480806,-0.1116819,-0.22988205,7.6167,7.86958
"NOL4",0.35648561,-0.4523198,-0.80938056,2.9373,2.482512
"ZNHIT2",-1.15238029,-0.7165513,-1.04271641,8.8137,8.686968
"OR2V2",-0.03000832,-0.8152205,-0.30205656,3.1484,3.026482
"CACNG8",-1.10502412,-1.2633473,-0.99921188,3.9799,3.945592
"CIDEC",-1.38596508,-1.0681604,-1.14787836,6.6987,6.946189
"JUN",-2.03885376,0.7541403,0.45089989,11.2735,10.797324
"SMAD7",0.67300453,0.381935,0.82010861,7.8433,8.044908
"RXRA",-0.39080892,-0.6988413,-1.03690877,8.7597,9.364556
"ZFYVE19",0.10405902,-0.3631556,-0.69300564,10.0204,10.261303
"NUDC",-0.37963535,-0.466039,-0.78148689,11.1038,10.977377
"SFT2D1",0.37407446,0.2817104,0.20674861,9.8921,9.957683
"NODAL",0.36204962,0.439615,-0.42495218,4.2161,3.858474
"NDUFB9",-0.23524723,-0.4257856,-0.63472287,15.4323,15.443566
"MKRN1",0.30642878,0.0652427,0.30372766,6.987,7.342173
"GPX8",-0.14108759,0.2940764,0.05395668,9.1213,9.620871
"ITGA2B",-0.00752279,-0.3131659,-0.87137872,4.5574,4.532882
"DGKB",-1.1879077,0.3483248,-0.81868201,2.5009,3.102988
"CAV1",1.00543884,2.9802521,3.11302989,12.1559,11.861337
"MFN1",0.78108063,-0.0733878,0.79578501,7.1793,7.111402
"ATRNL1",0.40294621,-0.4063604,0.57816624,3.0299,2.975039
"CLK1",1.05744843,0.6350476,1.0525955,8.1087,8.663947
"BOC",-0.20774363,-0.2382774,0.86535748,3.9241,4.00252
"MMP2",-0.11187946,-0.1591862,0.4096034,5.745,5.935539
"PPWD1",0.80601704,0.3429343,0.34188235,9.9214,9.730531
"IFNA5",0.54131858,-0.5451264,-0.11078501,3.3886,3.641099
"CLSTN3",-0.13286509,0.3169113,0.90119845,4.4696,4.516667
"LTF",-1.03497417,-0.0161754,1.09655168,3.877,3.706272
"MALT1",-0.14065584,0.9180215,0.77326203,8.2363,8.295608
"RGS12",0.54117359,0.3775455,0.33617955,4.0222,4.300218
"TOX",-0.14851876,-0.0682856,-0.14868511,2.5009,2.975039
"PTPLAD2",0.23946241,1.2104793,0.71529072,6.866,6.843194
"PTGIR",-0.31273193,-0.4094228,-0.45270433,8.1576,7.974847
"SYT6",-0.19557626,0.5847507,-0.11197263,2.8053,2.975039
"COX7A1",0.76411151,0.2664711,-0.74271282,3.6971,3.706272
"PBLD",-0.6120898,-0.3035483,0.07074193,5.922,5.957125
"C21orf63",-0.25908722,-1.1319856,0.03676719,4.1028,4.224208
"ZZZ3",0.63821578,0.2901949,0.30511303,8.826,8.643654
"SP1",-0.52310593,0.2179132,0.11896784,5.9859,6.036367
"ACOX3",-0.30479297,-0.058313,-0.32426203,5.6871,5.48762
"SULT1A2",0.02005562,0.1026977,-0.09341963,10.6362,10.671767
"GPR27",0.55925603,-0.2524908,-0.4676307,3.1484,3.368842
"BAZ1A",0.41770372,0.0894649,0.27907855,8.7012,8.142137
"AQP2",-0.04121304,-0.574452,0.18175209,3.4544,3.575997
"C17orf95",-0.22555535,-0.386369,-0.63575518,8.0409,8.821903
"LNX2",0.52782059,0.1556918,0.16313575,8.0498,8.456657
"PI4KB",0.31055018,-0.2739708,-0.11832057,9.9886,10.00397
"JUNB",-0.26532334,-0.7956992,-0.17679292,6.8368,7.137047
"GOLGA8A",1.92489383,0.3432841,0.96600207,6.0607,6.766768
"WFDC12",-0.55299912,-0.1758604,-0.74271282,3.1484,3.769096
"KIAA0406",-0.09628512,0.0619043,0.13899115,6.8795,6.850637
"GJB7",-0.39331542,-0.0135729,0.3702624,1.86,3.400504
"RNF11",0.95321736,1.4618785,1.47278595,10.9799,10.707664
"KCTD3",1.12467079,1.4302325,1.26810517,10.9049,10.809058
"SGCZ",0.24878655,0.2120621,0.07406847,2.8053,3.575997
"SERPING1",-0.18095875,-1.392258,-1.85490931,4.064,3.769096
"RNASE7",-0.38355623,0.4698578,-0.57830712,4.1454,4.339804
"RALY",-0.6113251,-0.1583739,-0.2078313,9.7701,10.070918
"LAMA5",0.01185365,0.9107549,0.98194857,9.0687,8.767331
"SERPINB8",-1.23034199,0.8380279,1.2685019,6.5437,6.800898
"ZNF559",1.31775652,1.3689108,1.46273565,5.9161,5.832962
"NPW",-0.20787636,-0.9813016,-1.35664913,5.6134,5.465234
"GRPR",-0.47345914,-0.6780413,0.3702624,3.1009,3.313889
"XBP1",-0.79941064,-0.5628718,-0.44064232,12.7469,13.729865
"SCUBE2",0.68648524,0.3494618,-0.54337985,2.8733,3.313889
"MRPL43",-0.23711988,-0.1538738,-0.34319398,10.8985,10.932423
"KIAA0141",-0.12732529,-0.4568999,-0.5556528,10.0109,9.972032
"ZNF770",-0.67241968,0.1308388,0.62327932,5.7527,5.921426
"HPX",-0.55183383,0.523541,0.4106614,4.064,3.741941
"TWSG1",1.02184386,0.9239653,1.56602361,5.6737,5.669014
"ZNF74",-0.86059341,-0.3120124,-0.42392096,6.9946,7.26213
"FAM110B",-0.23124272,0.0527657,0.54309675,3.9799,4.00252
"LAMA1",0.95253658,-0.2615023,0.54983982,2.3199,2.975039
"CASKIN2",-0.44574793,0.0419616,0.2189526,5.9901,6.107024
"NECAP2",0.36580202,-0.255839,-0.16434756,10.5436,10.696049
"ZBTB11",0.70685053,-0.0387094,0.06970458,8.991,9.056455
"NCOA3",0.89312182,1.3104485,1.15782589,10.2054,10.114375
"KRT75",-0.532077,0.163498,0.51938214,3.5271,3.802131
"DHRSX",-0.73388811,0.8706707,0.62328816,7.4213,7.57272
"RUVBL1",-0.60779653,-1.4723253,-0.69448398,6.9193,6.887197
"CATSPERB",0.54131858,0.3463498,-0.11197263,3.2249,3.575997
"AFF1",1.08933783,-1.0327691,-1.18659013,5.4514,5.362706
"TNFSF10",1.15715071,1.4983865,1.34340947,5.31,4.921954
"JAK2",1.40422621,0.2071396,1.03109272,5.401,5.446678
"PPP4R4",-0.47122838,0.4342613,1.13680268,3.0299,2.975039
"DNAJC3",-0.64452538,1.0831588,1.00388927,9.65,9.517844
"FAM65A",-0.49083104,-0.9882158,-0.63712015,5.2066,5.143594
"ADAM21",-0.05151163,-0.0259073,-0.24215143,3.7842,4.00252
"CREBBP",-0.46614563,0.0294567,-0.09171878,5.5677,5.48762
"NUDT18",-0.69277485,-1.3040618,-1.7851355,7.2239,7.359194
"FOXG1",1.33365984,-0.6974141,0.54983982,2.5009,2.821748
"LRRC61",-0.21260747,0.2439118,0.18936909,8.131,7.897935
"FGF5",-0.76776038,0.3966264,0.68371916,1.1472,2.821748
"CTSW",0.20310614,-0.3749626,1.39823479,3.8075,4.143966
"C14orf166",0.17331351,0.3364658,0.93138301,12.4026,12.379959
"CCNA2",0.87948216,0.4813911,0.5435446,9.3256,9.105376
"PRKCE",-0.36546762,-0.0682856,0.20219602,3.5271,3.534091
"LIN7B",-0.78846967,-1.445149,-1.73176883,8.4089,8.352687
"TARBP2",-0.77685601,-0.5633529,-0.96035453,8.851,8.749922
"ZNF181",0.79150983,0.4466487,1.9909162,4.5048,4.770193
"MBTPS1",0.73653893,-0.4033597,0.4538378,6.1339,6.128682
"CLEC2D",0.60233658,0.5072718,0.29055613,1.3803,2.052759
"TRPM1",-0.14851876,-0.3429303,0.26792559,2.6756,3.211379
"MBOAT1",0.76640693,1.1767648,0.93644452,7.8905,7.789871
"SHMT1",0.64529968,-0.5433166,-0.29553803,6.9946,8.22175
"MXRA7",-0.31742475,0.0321484,0.12240216,6.5042,6.557131
"C16orf57",0.02865289,-0.1942737,-0.16617562,11.8725,11.680891
"PTGIS",0.1024933,0.6326793,-0.74271282,2.9373,3.452668
"ACPT",-0.36460249,-0.1197726,-1.00294464,5.1884,4.738671
"CKMT1A",0.11347483,-0.3169484,-0.48882755,12.0527,11.907218
"TUBGCP5",1.19158314,0.4798426,0.62773064,6.2867,6.421913
"KIT",0.99530655,-2.0104904,0.29055613,2.3199,2.912117
"ASB4",1.3356563,-1.6361248,-0.39643388,3.2657,3.154883
"ZKSCAN5",0.56334989,0.9802094,0.80745966,6.987,7.097618
"MTHFS",-0.62876734,0.607621,0.81751979,11.189,11.263883
"WNK2",-0.15438974,-1.1706439,-0.3628917,4.2161,4.100013
"ZC3H11A",0.34681876,0.8224564,1.5449891,7.7721,8.257669
"RQCD1",-0.20129749,0.0975539,0.83888367,5.6932,5.590557
"ITGAE",-0.46148808,-0.55041,-0.38066389,9.5918,9.464603
"FAM175A",0.16238181,1.4163602,0.99018219,6.2271,6.012033
"TOR2A",-0.28455203,-0.7958543,-0.75825374,4.6492,4.770193
"LCOR",1.14068135,1.6503374,1.25466332,6.2419,6.504061
"LRRC4C",1.54127791,0.2440457,-0.74271282,3.7327,2.821748
"CAPS",-0.51405439,0.3234387,0.38405296,8.8097,8.976078
"TCP1",0.05267591,0.7647307,0.76646642,14.6016,14.226838
"ZNF383",0.59995135,0.7519378,0.93097236,5.1637,5.252485
"LILRA4",-0.79531841,-0.6563121,-1.65077106,4.2161,4.100013
"MTA3",0.92121666,0.7187466,0.97278428,7.459,7.497146
"SCUBE1",-0.43822867,-1.6098265,-0.1554911,3.4544,3.490365
"MED8",-0.61824985,-1.0824972,-1.18819426,7.8543,8.683706
"RNF186",1.37115042,0.1026238,0.81188402,3.4544,3.154883
"TMEM167A",0.30293656,0.058106,0.13021523,9.6848,9.579886
"TMEM167B",1.05062925,0.4071097,0.27314924,6.1756,6.6288
"EXOC3",-1.04637974,0.1245403,0.01688176,7.8905,7.859683
"P2RX4",-0.72913298,-1.0344906,-1.2302162,5.1534,5.718527
"MARCH4",-0.74877852,1.8890824,1.14187106,4.2161,4.450052
"KCNE1L",-0.56899153,-0.8237139,-0.97038999,5.1343,5.304616
"PMPCA",-0.23336661,-0.4972507,-0.82080011,11.8783,11.511321
"A4GNT",0.39734788,0.2076451,0.05721876,2.8053,2.975039
"ARCN1",0.27598925,-0.4676356,0.62747383,6.9275,7.18453
"TMEM38B",0.24357525,-1.2186101,-1.12934759,7.9473,7.905739
"PNLIPRP1",-0.23835958,-0.2850933,0.03676719,3.4544,3.211379
"KRT12",-1.5623149,-0.192472,-0.42961293,3.2657,2.669062
"PLN",0.14519952,0.7044092,0.16673175,2.6756,3.211379
"ARID5B",-0.47345914,0.163498,0.53760527,3.6411,3.261144
"OAZ1",-0.28200528,-0.0895555,-0.19524791,16.081,16.151182
"STRA13",0.05761308,-0.0341336,0.08219889,12.437,12.109991
"C2orf79",-0.36672428,0.1154391,0.09249487,8.887,8.945205
"GEMIN5",-0.8589807,-0.4134906,-0.25384003,8.5885,8.397257
"EBNA1BP2",-0.66997346,-0.4812462,-0.52278252,14.6741,14.442028
"DRD3",-1.24637352,-0.9110647,-0.15367535,3.6411,3.83126
"MET",0.4240685,1.6142908,1.31669244,12.1448,12.224935
"C10orf10",-0.39743514,0.3309594,0.63992984,5.5008,5.304616
"SNAPC3",1.10981207,-0.2387003,0.02786783,7.2536,7.268446
"ZMIZ1",0.33401541,0.6586013,0.469825,10.129,9.888911
"AGPAT2",-0.53511266,-0.6967202,-0.38693104,8.3563,8.394458
"RTP1",0.36204962,-0.8497846,-0.12905127,3.587,3.890546
"TMEM146",1.96376446,0.7720916,-0.51421776,3.757,3.769096
"KRT6C",-0.8726792,0.0901842,0.34376174,7.5587,7.126876
"CLASP2",-0.47345914,-0.1091761,0.28106893,4.0863,4.28174
"HS3ST1",-0.40449209,-0.6674913,-1.02632293,9.6379,9.539904
"SLC17A6",-0.85822414,0.5764521,-0.00938665,2.7479,2.912117
"S100A7A",0.35648561,-0.7443209,0.30905673,3.1009,2.482512
"FGFR2",0.65515425,0.3658518,0.25460386,5.1534,4.934481
"KCNK3",0.02896533,-0.8749283,0.02079806,4.1213,4.120199
"RPUSD4",-0.34043052,-0.4726364,-0.31813531,7.6091,7.435038
"AGMAT",-1.18773777,-0.7768495,-1.00860046,7.3143,7.017918
"ETNK2",0.04920089,-0.3437259,-0.35587937,4.5319,4.613079
"MKLN1",0.44293475,1.9978785,1.73668748,7.5736,7.460965
"SUSD5",1.24753497,0.6254217,0.59867031,5.7933,5.633958
"SRPR",0.28144477,-0.4620677,-0.25857269,9.0821,9.356535
"IL10RA",0.58719665,-1.8019548,-1.50033218,3.877,4.022212
"TMEM128",-0.08668068,0.1782948,0.02075365,8.3374,8.601383
"HMGN1",1.02367457,1.0876903,1.02358104,12.6497,13.053439
"YAF2",-0.04212359,-0.0814368,-0.19843292,7.6306,7.535533
"PCDHB10",-0.7432972,1.123646,0.07406847,3.3128,3.400504
"RAF1",0.41001246,-0.0089662,0.0829719,8.9799,9.50192
"KIAA1045",-0.23835958,0.4282681,0.70477136,3.2657,3.026482
"CREB3L1",-0.7417131,-0.8231853,-0.69729086,9.9188,9.617073
"PASD1",-0.34239267,-0.251061,-0.28993074,1.561,2.482512
"CHRDL1",1.67501686,0.4570154,-0.8525901,3.6411,3.534091
"PRKY",-0.80319307,0.6726227,0.46120565,4.3242,4.484352
"ZNF598",-1.08218497,-1.4651385,-1.45167532,9.0093,9.634864
"TF",0.30896726,0.4108482,-0.97038999,3.7842,3.769096
"THAP5",0.36204962,1.219232,-0.19727433,5.3198,5.874528
"UCHL5",0.13166628,0.8161868,0.83948799,10.5891,10.373645
"BACH1",0.67986877,1.269216,1.07816696,8.9468,9.070647
"GPR31",-1.23900417,-0.5824089,-0.94039185,4.3944,4.181627
"PAF1",-0.36649207,0.0168692,-0.21623748,10.4231,10.387077
"CACNA1B",-0.39973773,-0.6821537,-0.52602368,5.4674,5.48762
"UGT3A2",0.05615749,-0.0272206,-0.90649238,3.6197,3.261144
"RTP3",1.55518823,1.8769044,0.98343088,3.1484,2.669062
"SART3",0.50454464,-0.4085937,-0.00080047,8.5453,8.516991
"IFIT2",0.89366753,1.6583792,1.62415499,10.3662,10.129977
"SAFB2",-1.53939083,0.0606023,0.08251335,7.3442,6.800898
"TRIM10",-0.17312747,-0.3530827,0.07406847,3.3886,3.490365
"ATP6V1C1",0.46543339,-0.0791496,0.81380745,4.571,4.569836
"SPAG11B",-1.02653815,-1.0891814,0.16673175,3.0299,3.313889
"VWF",-0.44712431,0.391549,0.15841255,4.6859,4.587006
"TRIM2",0.17036786,-0.2214202,1.30807132,6.9223,6.371158
"C21orf66",1.21798994,-0.3574552,1.1166131,5.9019,5.935539
"DNASE1",0.00164391,-0.3224371,-0.60772091,6.2004,6.504061
"ZNF688",-0.73834388,-0.9665685,-1.10566319,9.7985,9.687138
"TMEM179B",-0.67503956,-1.0004514,-1.06166507,9.16,9.517844
"LOXL4",-0.00346103,0.3603906,0.87978521,4.3616,4.224208
"RSPO2",0.60233658,-0.2106158,0.46415853,2.5009,2.052759
"SLC15A1",0.21954719,0.9029892,0.20219602,3.1484,3.102988
"RAB42",-0.19901039,-0.2212024,-0.58973391,9.0214,8.76252
"GALK2",0.3135351,0.2102938,0.1799513,9.5116,9.762738
"CNTNAP2",-0.21275196,1.0211638,0.4653192,4.0035,3.890546
"OR5I1",-0.36942993,-0.6319836,-0.7410378,2.9891,3.400504
"FAM170A",-1.42452766,-0.7516201,0.03676719,3.5587,3.575997
"OR7C2",-0.81927623,-0.5952059,-0.11955248,4.7111,4.659897
"ZNF254",0.64814354,1.2025219,0.45000388,7.9199,8.246838
"ANKRD34B",0.04718895,0.1026238,0.66192831,3.4231,3.400504
"MACF1",-0.94379416,0.3219128,-0.03888449,6.8107,6.932084
"UBE2B",0.0963549,0.1470784,0.43647652,10.0513,10.268321
"ING5",-0.23090463,0.8175908,0.93327126,6.6145,6.421913
"POGK",0.70682417,0.0060522,-0.02754252,9.5582,9.783225
"PLK4",0.1024933,0.8683171,0.69028686,5.2313,5.436087
"HIRIP3",0.17560623,-0.5553745,-0.43483036,7.1265,7.115275
"COX4I2",-0.58714258,0.0231171,-0.06628936,4.3944,4.100013
"APOD",-1.25216223,-0.4458355,-0.91492207,3.1484,3.368842
"TTLL3",-0.54028541,-0.8014248,-0.91889821,5.9455,5.874528
"FABP3",0.24916025,0.1226308,0.13503523,4.1454,4.374102
"GAPDH",-0.14174511,1.5441007,1.57744178,14.6644,14.614235
"PITPNA",0.08196581,-0.4840719,-0.53303414,11.0173,10.566356
"NDUFV2",0.04316418,0.2076507,0.25742619,11.8326,11.723819
"ZNF512",0.68595033,0.8129787,0.6064701,7.0742,6.97039
"LCP2",-0.76776038,0.1207112,-0.60698412,3.0299,3.534091
"GPAA1",-1.08117417,-1.0843387,-0.21272116,8.7262,8.414683
"MARCH6",0.7492008,0.6640427,0.99289808,10.3734,10.330182
"HIVEP2",0.9674083,0.5859933,0.37078792,8.6815,8.871513
"UPK1A",-0.43013263,-0.3565398,-0.13900614,3.5271,3.706272
"RNF112",0.28519338,-1.5662395,-1.29548674,4.1808,4.339804
"DGAT2",-0.31212217,-0.1631814,-0.01847635,6.9086,6.78217
"C6orf58",-0.0627961,0.3256737,1.18469579,4.3242,4.181627
"TRIM29",0.00925963,0.1282895,-0.21309661,9.1439,8.951076
"ATP1A3",-0.33173392,-0.2741652,-0.16819657,10.1273,10.06103
"VDAC3",0.41531197,0.7489305,0.77797818,11.4052,11.180776
"NEK6",-0.34207008,0.0638751,0.02238936,10.1157,9.401784
"GJA3",0.49994391,-0.0427316,0.04985911,5.9506,6.112986
"FANCA",-0.3307411,0.1480623,-0.14509487,8.0052,7.993427
"SLC7A2",0.11261001,-0.2971017,-0.4039179,3.1484,3.575997
"CCDC113",0.96498756,-0.3910772,-0.94346642,5.3336,5.399714
"PSTPIP1",-1.22009445,-0.3344628,-0.93948842,5.9161,6.495595
"TSSC1",-0.30595048,-0.5658583,-0.53541897,10.76,10.912055
"ODZ4",-0.40785532,0.439615,0.10578343,2.8733,3.641099
"RBM22",-1.15856226,-0.6979978,-0.51299687,5.5597,5.909261
"SCAMP1",0.37288627,1.3778376,0.93570317,7.5161,7.905739
"PKN2",0.79425026,1.1179848,0.42407719,7.3337,6.946189
"LRRC40",0.0916188,0.8159336,0.92187414,8.9206,9.312031
"PPP6C",-0.07246165,-0.5234315,-0.49585598,11.6365,11.522067
"ZNF131",0.31440786,0.8150385,0.8249717,10.2248,10.622631
"GJB1",-0.36148101,-0.7047133,-0.14446095,3.4886,3.741941
"NETO1",0.16421302,0.9606918,0.08020533,5.2583,5.903178
"HRC",-1.08989573,-0.5108242,-0.79501669,5.0313,5.049925
"RAB12",0.04378574,0.5963869,0.42666533,7.5866,7.680889
"PCGF3",-0.24812936,-0.9301736,-0.85546473,7.4918,7.729359
"GABARAPL2",0.09458264,-0.1372602,-0.27653237,12.823,13.17914
"SPC25",0.22902596,0.075744,-0.00573354,10.2484,10.071417
"THAP9",2.27559326,0.9029892,0.59998369,4.3616,4.022212
"GTF2E1",0.15125785,-0.2849013,-0.33140275,9.5831,9.406938
"EXO1",1.30504713,0.5030528,0.3593792,9.6433,9.884175
"NELL1",-1.18329303,-1.012299,-1.0193988,2.9373,2.746771
"RAD54B",0.55006678,0.8014931,0.62372077,8.2179,8.18886
"ZFHX4",0.186699,1.0708988,0.42711615,5.922,5.846552
"SECTM1",-0.54938828,0.099357,0.44833316,6.2316,5.436087
"TMEM107",0.09088635,-0.2308139,-0.5934073,7.0614,6.92431
