"","DE_Incr_ARHGEF10_cntrl","DE_decr_ARGHEF10_cntrl","FC_incr_ARHGEF10_cntrl","FC_decr_ARGHEF10_cntrl","MiaPACA2_EV","MiaPACA2_EV.Detection_Pval","MiaPACA2_ARHGEF10","MiaPACA2_ARHGEF10.Detection_Pval","Hs766T_shGFP","Hs766T_shGFP.Detection_Pval","Hs766T_shARHGEF10","Hs766T_shARHGEF10.Detection_Pval","Symbol","n"
"NLRP4",208.9,-192.2,2.89392565729828,0.389647507145125,110.3,0.46207,319.2,0.04828,314.9,0.3069,122.7,0.57586,"NLRP4",1
"NLRP5",172.8,-193.4,2.5373665480427,0.408019589837772,112.4,0.31379,285.2,0.33448,326.7,0.20345,133.3,0.28621,"NLRP5",1
"NLRP6",170,-104.6,2.56826568265683,0.540421792618629,108.4,0.57241,278.4,0.43103,227.6,1,123,0.56207,"NLRP6",1
"NLRP7",183.866666666667,-173.5,2.7125116423471,0.416937380979052,107.366666666667,0.613793333333333,291.233333333333,0.370116666666667,297.566666666667,0.552873333333333,124.066666666667,0.54253,"NLRP7",3
"NLRP8",3120.65,-2752.9,8.98222279063819,0.157064776398181,390.95,0.443105,3511.6,0.38793,3265.85,0.039655,512.95,0.11207,"NLRP8",2
"NLRP9",177.5,-199.8,2.60343270099368,0.385419870808982,110.7,0.41379,288.2,0.28966,325.1,0.21034,125.3,0.47931,"NLRP9",1
"NLRX1",7036.95,-8104.05,13.1431406384814,0.139354838709677,579.5,0,7616.45,0,9416.25,0,1312.2,0,"NLRX1",2
"NMB",6898.9,-6873.4,8.26735489307911,0.0936375024724731,949.3,0,7848.2,0,7583.5,0,710.1,0,"NMB",1
"NMBR",277.4,-300,3.68798449612403,0.368952461085402,103.2,0.85517,380.6,0.00345,475.4,0.0069,175.4,0.00345,"NMBR",1
"NMD3",6905.8,-6958.4,13.5880422894641,0.0639889159414051,548.6,0,7454.4,0,7434.1,0,475.7,0,"NMD3",1
"NME1",9129.73333333333,-8263.03333333333,3.58128115958419,0.304831024899675,3536.9,0.00115,12666.6333333333,0,11886.3666666667,0,3623.33333333333,0.250573333333333,"NME1",3
"NME1-NME2",343.3,-220.8,3.92170212765957,0.388535031847134,117.5,0.12759,460.8,0,361.1,0.03793,140.3,0.13793,"NME1-NME2",1
"NME2",5391.05,-5290.25,16.2074753173484,0.0854240950837385,354.5,0.0258625,5745.55,0,5784.375,0.001725,494.125,0.0181025,"NME2",4
"NME2P1",173.7,-178.2,2.67179980750722,0.435003170577045,103.9,0.80345,277.6,0.45862,315.4,0.3,137.2,0.20345,"NME2P1",1
"NME3",7539.4,-10512.3,16.5163613912328,0.152609729555439,485.9,0,8025.3,0,12405.5,0,1893.2,0,"NME3",1
"NME4",15734.3,-6718.2,1.68869629921432,0.801153735729994,22846.5,0,38580.8,0,33785.9,0,27067.7,0,"NME4",1
"NME5",6205.3,-280.3,8.26956419868791,0.34140037593985,853.6,0,7058.9,0,425.6,0.01034,145.3,0.07586,"NME5",1
"NME6",2934.75,-5686.3,16.3050847457627,0.0852670779476703,191.75,0,3126.5,0,6216.35,0,530.05,0,"NME6",2
"NME7",6497.55,-8541.5,18.6037659170956,0.0651131736789107,369.1,0,6866.65,0,9136.4,0,594.9,0.001725,"NME7",2
"NMI",1197.1,-2339.1,3.38799122282067,0.31028483811995,501.3,0,1698.4,0,3391.4,0,1052.3,0,"NMI",1
"NMNAT1",2643.1,-4544,14.859989512323,0.0946944793098639,190.7,0,2833.8,0,5019.3,0,475.3,0,"NMNAT1",1
