"","DE_Incr_ARHGEF10_cntrl","DE_decr_ARGHEF10_cntrl","FC_incr_ARHGEF10_cntrl","FC_decr_ARGHEF10_cntrl","MiaPACA2_EV","MiaPACA2_EV.Detection_Pval","MiaPACA2_ARHGEF10","MiaPACA2_ARHGEF10.Detection_Pval","Hs766T_shGFP","Hs766T_shGFP.Detection_Pval","Hs766T_shARHGEF10","Hs766T_shARHGEF10.Detection_Pval","Symbol","n"
"7A5",-7.10000000000002,-225.1,0.975157452764171,0.361780550042529,285.8,0,278.7,0.41724,352.7,0.05517,127.6,0.39655,"7A5",1
"A1BG",204.5,-168.9,2.96069031639501,0.479667282809612,104.3,0.7931,308.8,0.09655,324.6,0.21034,155.7,0.02414,"A1BG",1
"A1CF",161.033333333333,-197.566666666667,2.48646153846154,0.384399667636061,108.333333333333,0.533336666666667,269.366666666667,0.631036666666667,320.933333333333,0.34138,123.366666666667,0.551726666666667,"A1CF",3
"A26C3",166.5,-165.9,2.60096153846154,0.452113606340819,104,0.79655,270.5,0.58621,302.8,0.46552,136.9,0.2069,"A26C3",1
"A2BP1",166.375,-188.825,2.49382716049383,0.405883741052466,111.375,0.4293125,277.75,0.4767225,317.825,0.3431025,129,0.41207,"A2BP1",4
"A2LD1",2925.3,-1992.6,21.8354700854701,0.0728211809594714,140.4,0,3065.7,0,2149.1,0,156.5,0.01724,"A2LD1",1
"A2M",-5927.5,430.8,0.0586189372042054,1.24484228473998,6296.6,0,369.1,0.00345,1759.5,0,2190.3,0,"A2M",1
"A2ML1",192.4,-123,2.74275362318841,0.498164014687882,110.4,0.45172,302.8,0.13793,245.1,1,122.1,0.58966,"A2ML1",1
"A3GALT2",186.1,-195.6,2.69876768598813,0.379441624365482,109.55,0.49483,295.65,0.21897,315.2,0.489655,119.6,0.62414,"A3GALT2",2
"A4GALT",248.3,-3507.3,2.53271604938272,0.315608718559135,162,0,410.3,0.00345,5124.7,0,1617.4,0,"A4GALT",1
"A4GNT",208.6,-197.2,2.95135640785781,0.388147688488985,106.9,0.67241,315.5,0.06207,322.3,0.22759,125.1,0.48966,"A4GNT",1
"AAA1",168.88,-189.2,2.49319186560566,0.4139874868364,113.1,0.38,281.98,0.417932,322.86,0.254482,133.66,0.306898,"AAA1",5
"AAAS",1101.2,-1422.1,8.2257217847769,0.178214388904941,152.4,0,1253.6,0,1730.5,0,308.4,0,"AAAS",1
"AACS",4464.6,-4952.9,17.578536947642,0.0759170118287996,269.3,0,4733.9,0,5359.8,0,406.9,0,"AACS",1
"AADAC",204,-748.6,2.57286044718581,0.323696810913362,129.7,0.00345,333.7,0.01724,1106.9,0,358.3,0,"AADAC",1
"AADACL1",8198.7,-9863.1,8.02695521748447,0.143087997011308,1166.75,0,9365.45,0,11510.05,0,1646.95,0,"AADACL1",2
"AADACL2",163,-165.4,2.31770412287793,0.435494880546075,123.7,0.02069,286.7,0.31034,293,0.63793,127.6,0.39655,"AADACL2",1
"AADACL4",202.8,-244.1,2.49337260677467,0.368434670116429,135.8,0,338.6,0.01379,386.5,0.01379,142.4,0.11034,"AADACL4",1
"AADAT",666.8,-1431.93333333333,5.61666282021694,0.0922000803026141,144.433333333333,0.296553333333333,811.233333333333,0.0896566666666667,1577.36666666667,0.0735633333333333,145.433333333333,0.210343333333333,"AADAT",3
"AAGAB",14107.4,-13188.1,16.6731474280635,0.0517820294356607,900.1,0,15007.5,0,13908.3,0,720.2,0,"AAGAB",1
"AAK1",4620.25,-3661.6,14.0460256953268,0.0579881656804734,354.15,0.010345,4974.4,0.006895,3887,0.07931,225.4,0.46207,"AAK1",2
"AAMP",7222.7,-8911.8,13.7722369584439,0.107606344628695,565.5,0,7788.2,0,9986.4,0,1074.6,0,"AAMP",1
"AANAT",123,-124.8,2.05038428693424,0.503579952267303,117.1,0.13793,240.1,0.97586,251.4,0.9931,126.6,0.44828,"AANAT",1
"AARS",24282.5,-27778.4,5.75707708884318,0.147852175433538,5104.5,0,29387,0,32598.1,0,4819.7,0,"AARS",1
"AARS2",7143.9,-7061.2,8.3572605561277,0.169045741788955,971,0,8114.9,0,8497.7,0,1436.5,0,"AARS2",1
"AARSD1",11811.4,-10929.2,11.3545191549049,0.202224882478321,1140.7,0,12952.1,0,13699.6,0,2770.4,0,"AARSD1",1
"AASDH",11417.8,-11478.9,36.5362589480237,0.0309157373090983,321.3,0,11739.1,0,11845.1,0,366.2,0,"AASDH",1
"AASDHPPT",7542.4,-9883.7,4.52844311377246,0.179878023482554,2137.6,0,9680,0,12051.5,0,2167.8,0,"AASDHPPT",1
"AASS",1065.3,-2772.5,7.14537063743871,0.136023683390464,173.35,0.118965,1238.65,0.031035,3209,0.00517,436.5,0.17931,"AASS",2
"AATF",17004.5,-17052.7,5.57356105433028,0.3186850506011,3718,0,20722.5,0,25029.1,0,7976.4,0,"AATF",1
"AATK",387.1,-181.95,3.88880597014925,0.406168407310705,134,0.006895,521.1,0,306.4,0.41724,124.45,0.531035,"AATK",2
"ABAT",2981.76666666667,-555.166666666667,11.6962812387899,0.197620079973021,278.766666666667,0.16092,3260.53333333333,0.0885066666666667,691.9,0.190803333333333,136.733333333333,0.228736666666667,"ABAT",3
"ABCA1",7892.1,-6330.4,3.82729096510711,0.500619256103814,2791.4,0,10683.5,0,12676.5,0,6346.1,0,"ABCA1",1
"ABCA10",920.25,-886.5,5.31940858953297,0.172268907563025,213.05,0,1133.3,0,1071,0,184.5,0.018965,"ABCA10",2
"ABCA11",1094.1,-1946.2,9.85910931174089,0.0764923602543418,123.5,0.02069,1217.6,0,2107.4,0,161.2,0.01724,"ABCA11",1
"ABCA12",166.15,-364.45,2.46840477242598,0.25637624974495,113.15,0.324135,279.3,0.437935,490.1,0.00862,125.65,0.468965,"ABCA12",2
"ABCA13",180.2,-1309.7,2.66082949308756,0.102760841268754,108.5,0.56207,288.7,0.28276,1459.7,0,150,0.05517,"ABCA13",1
"ABCA2",1991.55,-2497.7,10.5701585776069,0.121054298483302,208.1,0.20517,2199.65,0.001725,2841.7,0.01724,344,0.17414,"ABCA2",2
"ABCA3",7142.1,-4383.6,17.2987220447284,0.0774281805745554,438.2,0,7580.3,0,4751.5,0,367.9,0,"ABCA3",1
"ABCA4",429.7,-505.8,4.01755617977528,0.205341712490181,142.4,0,572.1,0,636.5,0,130.7,0.32414,"ABCA4",1
"ABCA5",890.966666666667,-1366.26666666667,7.4876213592233,0.166266628696961,137.333333333333,0.12414,1028.3,0,1638.73333333333,0,272.466666666667,0.21839,"ABCA5",3
"ABCA6",232.85,-5403.1,2.65729537366548,0.135628469500392,140.5,0.001725,373.35,0.00862,6250.9,0,847.8,0,"ABCA6",2
"ABCA7",1646.26666666667,-833.1,13.8950391644909,0.135459545470269,127.666666666667,0.14368,1773.93333333333,0.00459666666666667,963.633333333333,0.04253,130.533333333333,0.489653333333333,"ABCA7",3
"ABCA8",731.6,-226.05,4.93121977431488,0.391357027463651,186.1,0.001725,917.7,0,371.4,0.02931,145.35,0.07414,"ABCA8",2
"ABCA9",182.75,-371.1,2.49917965545529,0.334588488434642,121.9,0.031035,304.65,0.131035,557.7,0.02414,186.6,0.00862,"ABCA9",2
"ABCB1",194.1,-199.75,2.71013215859031,0.38717594723117,113.5,0.27069,307.6,0.446555,325.95,0.434485,126.2,0.47931,"ABCB1",2
"ABCB10",7399.8,-6091.6,3.77291463688826,0.376109956062639,2668.6,0,10068.4,0,9763.9,0,3672.3,0,"ABCB10",1
"ABCB11",171.3,-177.2,2.51058201058201,0.395840436413229,113.4,0.26552,284.7,0.33448,293.3,0.63448,116.1,0.86552,"ABCB11",1
"ABCB4",221.3,-201.7,3.00999091734787,0.415023201856148,110.1,0.48276,331.4,0.01724,344.8,0.09655,143.1,0.1069,"ABCB4",1
"ABCB5",200.5,-192.7,2.96761530912659,0.379587894397939,101.9,0.88966,302.4,0.13793,310.6,0.35517,117.9,0.75862,"ABCB5",1
"ABCB6",6842.6,-10340.9,13.2869455916682,0.155279452368116,556.9,0,7399.5,0,12241.8,0,1900.9,0,"ABCB6",1
"ABCB7",6678.5,-6957.5,15.5914354380599,0.0634296714095333,457.7,0,7136.2,0,7428.7,0,471.2,0,"ABCB7",1
"ABCB8",3519.2,-6055.8,18.5346287992028,0.0669173048181076,200.7,0,3719.9,0,6490.1,0,434.3,0,"ABCB8",1
"ABCB9",2086.46666666667,-1153.6,10.1565242832066,0.12482298199474,227.866666666667,0.16207,2314.33333333333,0.0563233333333333,1318.13333333333,0.0252866666666667,164.533333333333,0.209193333333333,"ABCB9",3
"ABCC1",3698.75,-17137.1,19.301583374567,0.0863502472443254,202.1,0,3900.85,0,18756.75,0,1619.65,0,"ABCC1",2
"ABCC10",2187.7,-4378.5,5.62320371935757,0.177051029038624,473.2,0,2660.9,0,5320.5,0,942,0,"ABCC10",1
"ABCC11",242.633333333333,-298.2,3.10741169658367,0.311899084685793,115.133333333333,0.333333333333333,357.766666666667,0.02069,433.366666666667,0.02069,135.166666666667,0.283906666666667,"ABCC11",3
"ABCC12",164.1,-155,2.48104693140794,0.457472873643682,110.8,0.41034,274.9,0.50345,285.7,0.74828,130.7,0.32414,"ABCC12",1
"ABCC13",189.1,-200.8,2.66022827041264,0.384803921568627,113.9,0.470685,303,0.17586,326.4,0.24138,125.6,0.467245,"ABCC13",2
"ABCC2",4086.3,-683.8,23.6638935108153,0.149290868375218,180.3,0,4266.6,0,803.8,0,120,0.66552,"ABCC2",1
"ABCC3",762.6,-4206.3,5.48852266038846,0.0400301252938357,169.9,0,932.5,0,4381.7,0,175.4,0.00345,"ABCC3",1
"ABCC4",3821.4,-3526.95,6.89176688251619,0.114221133923526,648.6,0,4470,0,3981.75,0,454.8,0,"ABCC4",2
"ABCC5",6784.9,-7060.26666666667,14.1558298862461,0.110102767064122,515.733333333333,0,7300.63333333333,0,7933.8,0,873.533333333333,0,"ABCC5",3
"ABCC6",246.7,-495.06,2.98343785174465,0.213216363116239,124.38,0.217242,371.08,0.346894,629.22,0.188964,134.16,0.432414,"ABCC6",5
"ABCC6P1",252.3,-199.7,3.30621572212066,0.35973068291119,109.4,0.5,361.7,0.00345,311.9,0.33793,112.2,0.94138,"ABCC6P1",1
"ABCC6P2",239.9,-258,2.91307814992025,0.352734570998495,125.4,0.01724,365.3,0.00345,398.6,0.01034,140.6,0.13793,"ABCC6P2",1
"ABCC8",1088.3,-150,10.3576956147893,0.45414847161572,116.3,0.15172,1204.6,0,274.8,0.87931,124.8,0.49655,"ABCC8",1
"ABCC9",180.333333333333,-261.233333333333,2.47895024603609,0.341040948457076,121.933333333333,0.1977,302.266666666667,0.166666666666667,396.433333333333,0.310346666666667,135.2,0.24368,"ABCC9",3
"ABCD1",2324.8,-6666.7,6.95797027165556,0.268962114150995,390.2,0,2715,0,9119.5,0,2452.8,0,"ABCD1",1
"ABCD2",167.9,-217.35,2.5038065382893,0.361298853952395,111.65,0.44138,279.55,0.408625,340.3,0.129315,122.95,0.56379,"ABCD2",2
"ABCD3",3574.3,-3560.2,25.1343686698177,0.0392119821886385,148.1,0,3722.4,0,3705.5,0,145.3,0.07586,"ABCD3",1
"ABCD4",498.9,-527.6,4.46699096594857,0.265334540137854,143.9,0.010345,642.8,0,718.15,0.00345,190.55,0.03793,"ABCD4",2
"ABCE1",11039.3,-12266.45,18.9866395112016,0.056963728339253,613.75,0,11653.05,0,13007.4,0,740.95,0.001725,"ABCE1",2
"ABCF1",13564.5,-14327.85,3.85944664031621,0.240643085794238,4743.75,0,18308.25,0,18868.4,0,4540.55,0,"ABCF1",2
"ABCF2",8016.7,-7896.8,10.2707192968931,0.222283866520033,864.733333333333,0,8881.43333333333,0,10153.8333333333,0.00344666666666667,2257.03333333333,0.1023,"ABCF2",3
"ABCF3",6281.5,-11369.1,19.1179694260167,0.102222116933573,346.7,0,6628.2,0,12663.6,0,1294.5,0,"ABCF3",1
"ABCG1",1374.65,-1963.48333333333,4.86517643750879,0.41843681043377,355.65,0.492528333333333,1730.3,0.266091666666667,3376.21666666667,0.16839,1412.73333333333,0.344251666666667,"ABCG1",6
"ABCG2",242.8,-5266.4,2.95333869670153,0.150923014913341,124.3,0.02069,367.1,0.00345,6202.5,0,936.1,0,"ABCG2",1
"ABCG4",1844.6,-446.2,12.9701492537313,0.245901639344262,154.1,0,1998.7,0,591.7,0,145.5,0.07241,"ABCG4",1
"ABCG5",177.3,-207,2.5390625,0.396853146853147,115.2,0.17586,292.5,0.22414,343.2,0.1069,136.2,0.22414,"ABCG5",1
"ABCG8",177.5,-190,2.48535564853557,0.379693111328763,119.5,0.08276,297,0.17241,306.3,0.4,116.3,0.84828,"ABCG8",1
"ABHD1",206.4,-188.7,2.80262008733624,0.419741697416974,114.5,0.21379,320.9,0.02759,325.2,0.21034,136.5,0.21724,"ABHD1",1
"ABHD10",19554.6,-17667.1,16.5850800988284,0.078758962325642,1254.7,0,20809.3,0,19177.5,0,1510.4,0,"ABHD10",1
"ABHD11",7737.7,-4451.7,41.5894387130617,0.0443851338781001,190.633333333333,0,7928.33333333333,0,4658.46666666667,0,206.766666666667,0.01494,"ABHD11",3
"ABHD12",6989.73333333333,-10029.1,11.3710371432811,0.169437297792697,673.966666666667,0,7663.7,0,12075.0666666667,0,2045.96666666667,0,"ABHD12",3
"ABHD12B",178.833333333333,-212.9,2.56642335766423,0.37253168287651,114.166666666667,0.320686666666667,293,0.233333333333333,339.3,0.263216666666667,126.4,0.5023,"ABHD12B",3
"ABHD13",1439.3,-1511.2,10.5349453461411,0.0986789133092774,150.95,0,1590.25,0,1676.65,0,165.45,0.031035,"ABHD13",2
"ABHD14A",3616.2,-6717.2,14.8022900763359,0.121302897508012,262,0,3878.2,0,7644.5,0,927.3,0,"ABHD14A",1
"ABHD14B",13013.6,-15482.2,19.9564457392571,0.114640102019226,686.5,0,13700.1,0,17486.9,0,2004.7,0,"ABHD14B",1
"ABHD15",7681.7,-6964,9.80323172129269,0.185230250842381,872.6,0,8554.3,0,8547.2,0,1583.2,0,"ABHD15",1
"ABHD2",852.566666666667,-2934.53333333333,7.2261441090555,0.090480814926545,136.933333333333,0.0137933333333333,989.5,0,3226.46666666667,0,291.933333333333,0,"ABHD2",3
"ABHD3",9763.2,-9084.6,8.69058684521465,0.105397394361343,1269.5,0,11032.7,0,10154.9,0,1070.3,0,"ABHD3",1
"ABHD4",7358.5,-12768.9,24.2937638493194,0.168669757024923,315.9,0,7674.4,0,15359.6,0,2590.7,0,"ABHD4",1
"ABHD5",7865,-9701.4,39.7247661250615,0.0212568476912057,203.1,0,8068.1,0,9912.1,0,210.7,0,"ABHD5",1
"ABHD6",10445.4,-11649.8,8.9900558402815,0.208675510633818,1307.3,0,11752.7,0,14721.9,0,3072.1,0,"ABHD6",1
"ABHD7",6467.2,-7305.6,9.47046496398166,0.158786818045736,763.5,0,7230.7,0,8684.6,0,1379,0,"ABHD7",1
"ABHD8",3202.4,-3311.3,25.8633540372671,0.0496240169909879,128.8,0.00345,3331.2,0,3484.2,0,172.9,0.0069,"ABHD8",1
"ABHD9",192.4,-339.8,2.1108545034642,0.274551665243382,173.2,0,365.6,0.00345,468.4,0.01034,128.6,0.36207,"ABHD9",1
"ABI1",1268.15,-1540.7,5.75229529698332,0.22665328146568,266.85,0,1535,0,1992.25,0.001725,451.55,0.006895,"ABI1",2
"ABI2",8323.53333333333,-7898.23333333333,8.37030696576151,0.105249245711222,1129.33333333333,0,9452.86666666667,0,8827.3,0,929.066666666667,0,"ABI2",3
"ABI3",175.6,-365.3,2.67078972407231,0.271585244267198,105.1,0.76207,280.7,0.37931,501.5,0.0069,136.2,0.22414,"ABI3",1
"ABI3BP",43.4,-6387.2,1.19144243493604,0.171698308953211,226.7,0,270.1,0.58621,7711.2,0,1324,0,"ABI3BP",1
"ABL1",7122.63333333333,-7584.13333333333,16.3759084694538,0.0789807112352501,463.233333333333,0,7585.86666666667,0,8234.5,0,650.366666666667,0,"ABL1",3
"ABL2",1929.16666666667,-6765.36666666667,9.02370719534174,0.102613532358546,240.433333333333,0.00344666666666667,2169.6,0,7538.96666666667,0,773.6,0,"ABL2",3
"ABLIM1",3492.15,-7081.35,6.81540383014155,0.374067190976972,600.5,0,4092.65,0.077585,11313.275,0.006035,4231.925,0.18362,"ABLIM1",4
"ABLIM2",1197.9,-1082.4,6.36453201970443,0.503030303030303,223.3,0,1421.2,0,2178,0,1095.6,0,"ABLIM2",1
"ABLIM3",310.3,-3493.1,3.37413925019128,0.0656912830663065,130.7,0.00345,441,0,3738.7,0,245.6,0,"ABLIM3",1
"ABO",95.4,-7047.2,1.48998459167951,0.186310733419546,194.7,0,290.1,0.26207,8660.8,0,1613.6,0,"ABO",1
"ABP1",165,-224,2.44609991235758,0.390144296215628,114.1,0.23103,279.1,0.41379,367.3,0.02414,143.3,0.1,"ABP1",1
"ABR",3296.03333333333,-3301.8,5.23364445966775,0.243082566003133,778.533333333333,0,4074.56666666667,0,4362.16666666667,0.0023,1060.36666666667,0.00804666666666667,"ABR",3
"ABRA",213.3,-290,2.90276538804639,0.298839458413926,112.1,0.34483,325.4,0.01724,413.6,0.01034,123.6,0.54138,"ABRA",1
"ABT1",1435.3,-1029.5,5.98541160125043,0.266476665479159,287.9,0,1723.2,0,1403.5,0,374,0,"ABT1",1
"ABTB1",2532.45,-3518.4,16.714861929879,0.0564636157631505,161.15,0,2693.6,0,3728.95,0,210.55,0.006895,"ABTB1",2
"ABTB2",453.4,-2934.7,4.87521367521367,0.0557897107557672,117,0.14483,570.4,0,3108.1,0,173.4,0.0069,"ABTB2",1
"ACAA1",5617.5,-8106.1,10.1714285714286,0.307839437124828,612.5,0,6230,0,11711.3,0,3605.2,0,"ACAA1",1
"ACAA2",21772.5,-15966.8,3.98670745425115,0.211052420928842,7289.8,0,29062.3,0,20238.1,0,4271.3,0,"ACAA2",1
"ACACA",11153.4,-7921.33333333333,13.2108605211298,0.0728559501236764,913.4,0.03678,12066.8,0,8543.8,0.0023,622.466666666667,0.04023,"ACACA",3
"ACACB",8326.7,-5677.1,33.7564909520063,0.0251729999828288,254.2,0,8580.9,0,5823.7,0,146.6,0.06207,"ACACB",1
"ACAD10",3175.4,-2618.4,17.4955844155844,0.138825851011347,192.5,0,3367.9,0,3040.5,0,422.1,0,"ACAD10",1
"ACAD11",12392.6,-6776.4,2.85487419736271,0.305810522865104,6681.1,0,19073.7,0,9761.6,0,2985.2,0,"ACAD11",1
"ACAD8",2004.9,-2400.3,5.81541971898643,0.222448979591837,416.35,0.001725,2421.25,0,3087,0,686.7,0.006895,"ACAD8",2
"ACAD9",10603.6,-7977,2.13331124482969,0.567759414792739,9356.3,0,19959.9,0,18455,0,10478,0,"ACAD9",1
"ACADL",151.4,-208.4,2.40575673166202,0.379761904761905,107.7,0.61034,259.1,0.82414,336,0.13448,127.6,0.39655,"ACADL",1
"ACADM",12377.8,-11722.45,7.44744244192103,0.212293581064055,1919.8,0,14297.6,0,14881.75,0,3159.3,0,"ACADM",2
"ACADS",2416.4,-1814.2,12.9683011391778,0.172580498038858,201.9,0,2618.3,0,2192.6,0,378.4,0,"ACADS",1
"ACADSB",2603.1,-2331.5,21.0084550345888,0.0587024102709031,130.1,0.00345,2733.2,0,2476.9,0,145.4,0.07241,"ACADSB",1
"ACADVL",9510.1,-8360.53333333333,5.34376760402552,0.297577806218896,2189.36666666667,0,11699.4666666667,0,11902.4333333333,0,3541.9,0.00115,"ACADVL",3
"ACAN",181.9,-181.3,2.76259689922481,0.372881355932203,103.2,0.85517,285.1,0.33448,289.1,0.6931,107.8,0.98276,"ACAN",1
"ACAP1",229.9,-203.9,2.42441140024783,0.41357492090883,161.4,0,391.3,0.00345,347.7,0.07586,143.8,0.0931,"ACAP1",1
"ACAP2",16425.8,-14158.2,20.6199235547062,0.0455896727223701,837.2,0,17263,0,14834.5,0,676.3,0,"ACAP2",1
"ACAP3",882.9,-1882.3,8.01270849880858,0.0750823055378114,125.9,0.01379,1008.8,0,2035.1,0,152.8,0.03793,"ACAP3",1
"ACAT1",8541.7,-7514.5,1.71475670474039,0.600409454680811,11950.5,0,20492.2,0,18805.5,0,11291,0,"ACAT1",1
"ACAT2",5177.7,-3800.15,2.32185345928006,0.475189890899047,3917,0,9094.7,0,7241,0,3440.85,0.38793,"ACAT2",2
"ACBD3",8116.1,-8081.5,7.58079948106706,0.201338103332411,1233.3,0,9349.4,0,10118.8,0,2037.3,0,"ACBD3",1
"ACBD4",488.5,-402.4,4.61584011843079,0.300417246175243,135.1,0,623.6,0,575.2,0,172.8,0.0069,"ACBD4",1
"ACBD5",2169.43333333333,-4482.63333333333,12.4040651831085,0.0963890232758157,190.233333333333,0.244826666666667,2359.66666666667,0,4960.8,0,478.166666666667,0.01954,"ACBD5",3
"ACBD6",14738.9,-13974.1,8.41505257332595,0.172694495917969,1987.7,0,16726.6,0,16891.1,0,2917,0,"ACBD6",1
"ACBD7",4638.5,-1859,12.5414282159741,0.110994213571804,401.9,0,5040.4,0,2091.1,0,232.1,0.00345,"ACBD7",2
"ACCN1",137.7,-169.8,2.16398985629755,0.401902078196548,118.3,0.10345,256,0.86897,283.9,0.76897,114.1,0.92759,"ACCN1",1
"ACCN2",6113.75,-3659.25,16.6923767967146,0.0840425531914894,389.6,0.348275,6503.35,0.07069,3995,0.031035,335.75,0.34655,"ACCN2",2
"ACCN3",899.45,-275.75,7.92150827241247,0.324224972429849,129.95,0.03793,1029.4,0,408.05,0.012065,132.3,0.313795,"ACCN3",2
"ACCN4",258.766666666667,-182.5,3.19790486976217,0.403204708960105,117.733333333333,0.188503333333333,376.5,0.0482766666666667,305.8,0.5046,123.3,0.572413333333333,"ACCN4",3
"ACCN5",188.4,-163.9,2.67169476486247,0.505729794933655,112.7,0.29655,301.1,0.14138,331.6,0.16552,167.7,0.01379,"ACCN5",1
"ACCS",6959.9,-9185.5,8.12083077552691,0.32061418755501,977.4,0,7937.3,0,13520.3,0,4334.8,0,"ACCS",1
"ACCSL",167.65,-202.4,2.63083657587549,0.373762376237624,102.8,0.846555,270.45,0.57931,323.2,0.25,120.8,0.67069,"ACCSL",2
"ACD",7143.8,-8082.1,7.76816674561819,0.374823054371621,1055.5,0,8199.3,0,12927.7,0,4845.6,0,"ACD",1
"ACE",473.266666666667,-174.766666666667,4.3399200188191,0.428680396643783,141.7,0.0885066666666667,614.966666666667,0.135633333333333,305.9,0.45977,131.133333333333,0.343676666666667,"ACE",3
"ACE2",149.8,-879.6,2.33511586452763,0.137139493819894,112.2,0.33103,262,0.74828,1019.4,0,139.8,0.15172,"ACE2",1
"ACER1",189.8,-176.15,2.79395085066163,0.407201749957934,105.8,0.69655,295.6,0.20345,297.15,0.56724,121,0.646555,"ACER1",2
"ACER2",2148.25,-1948,9.11885865457294,0.146007321189803,264.6,0,2412.85,0,2281.05,0,333.05,0,"ACER2",2
"ACER3",1981.3,-3546.4,14.5891632373114,0.0478951890034364,145.8,0,2127.1,0,3724.8,0,178.4,0.00345,"ACER3",1
"ACHE",806.55,-562.05,7.20900692840647,0.207710741471666,129.9,0.13276,936.45,0,709.4,0.01207,147.35,0.268965,"ACHE",2
"ACIN1",5468.4,-5331.6,13.0184615384615,0.0900308921165367,455,0,5923.4,0,5859.1,0,527.5,0,"ACIN1",1
"ACLY",10240.5,-9554.55,2.7463186705434,0.38842660453565,5864.05,0,16104.55,0,15622.9,0,6068.35,0,"ACLY",2
"ACMSD",179.1,-183.8,2.44785772029103,0.387741505662891,123.7,0.02069,302.8,0.13793,300.2,0.52759,116.4,0.82414,"ACMSD",1
"ACN9",7497.75,-3623.6,27.5501062322946,0.046370861624296,282.4,0,7780.15,0,3799.8,0,176.2,0.04655,"ACN9",2
"ACO1",8643.4,-9315.4,7.2138030194105,0.147199106497121,1391,0,10034.4,0,10923.3,0,1607.9,0,"ACO1",1
"ACO2",5893.4,-9900.4,43.3680805176132,0.0318214711807389,139.1,0,6032.5,0,10225.8,0,325.4,0,"ACO2",1
"ACOT1",393,-206.7,4.24927656056222,0.392058823529412,120.95,0.301725,513.95,0.11207,340,0.12069,133.3,0.318965,"ACOT1",2
"ACOT11",924.1,-795.65,5.54438160806491,0.156077641069156,203.35,0.04138,1127.45,0.001725,942.8,0.00517,147.15,0.110345,"ACOT11",2
"ACOT12",183.1,-166.6,2.83466933867735,0.455377574370709,99.8,0.93793,282.9,0.34138,305.9,0.41034,139.3,0.15517,"ACOT12",1
"ACOT2",5916.45,-2657.6,6.65166929359507,0.188370388468116,1046.85,0.28276,6963.3,0.00862,3274.4,0.106895,616.8,0.39655,"ACOT2",2
"ACOT4",430.6,-2745,3.97993079584775,0.0642896100354513,144.5,0,575.1,0,2933.6,0,188.6,0.00345,"ACOT4",1
"ACOT6",214.6,-170.8,2.9420814479638,0.421800947867299,110.5,0.43793,325.1,0.01724,295.4,0.6,124.6,0.5,"ACOT6",1
"ACOT7",2911.41666666667,-3865.91666666667,12.5037866315443,0.102771889650477,253.083333333333,0.146553333333333,3164.5,0.03046,4308.73333333333,0.0764366666666667,442.816666666667,0.319541666666667,"ACOT7",6
"ACOT8",2698,-6290.5,19.5812672176309,0.058829690141688,145.2,0,2843.2,0,6683.7,0,393.2,0,"ACOT8",1
"ACOT9",6241.45,-6718.6,3.78244878853398,0.236396906308426,2243.15,0,8484.6,0,8798.55,0,2079.95,0,"ACOT9",2
"ACOX1",1576.3,-1553.56666666667,9.0205223880597,0.109346633797703,196.533333333333,0.312643333333333,1772.83333333333,0.00574666666666667,1744.3,0.00459666666666667,190.733333333333,0.0367833333333333,"ACOX1",3
"ACOX2",5264.6,-2290.4,8.63760336573335,0.160133475120091,689.3,0,5953.9,0,2727.1,0,436.7,0,"ACOX2",1
"ACOX3",225.2,-319.4,3.02882882882883,0.288482958342615,111,0.40345,336.2,0.01379,448.9,0.01034,129.5,0.34828,"ACOX3",1
"ACOXL",142.4,-159.8,2.06189410887397,0.44067203360168,134.1,0,276.5,0.47931,285.7,0.74828,125.9,0.46552,"ACOXL",1
"ACP1",14528.3,-12570.75,4.07496772281838,0.298534655454307,4724.7,0,19253,0,17920.7,0,5349.95,0,"ACP1",2
"ACP2",6182,-5648.9,9.27355460385439,0.245888289635286,747.2,0,6929.2,0,7490.8,0,1841.9,0,"ACP2",1
"ACP5",184.4,-200.2,2.70740740740741,0.422388920946336,108,0.58621,292.4,0.22414,346.6,0.08276,146.4,0.06552,"ACP5",1
"ACP6",12893.2,-11065.7,4.29488129615906,0.329030262974394,3913.1,0,16806.3,0,16492.1,0,5426.4,0,"ACP6",1
"ACPL2",4558.65,-1053.7,23.6179608037708,0.12301290054099,201.55,0,4760.2,0,1201.5,0,147.8,0.07414,"ACPL2",2
"ACPP",91,-208.4,1.49030172413793,0.394713912285797,185.6,0,276.6,0.47931,344.3,0.10345,135.9,0.22759,"ACPP",1
"ACPT",231.65,-166.1,2.75359576078728,0.449726685439788,132.1,0.07586,363.75,0.084485,301.85,0.48793,135.75,0.22931,"ACPT",2
"ACR",172,-166.9,2.59111933395005,0.452068286277085,108.1,0.58621,280.1,0.3931,304.6,0.43103,137.7,0.1931,"ACR",1
"ACRBP",226.8,-207.3,3.0017652250662,0.427980132450331,113.3,0.26897,340.1,0.01379,362.4,0.03448,155.1,0.02414,"ACRBP",1
"ACRC",1729.2,-6718.8,12.0210325047801,0.0453537936913896,156.9,0,1886.1,0,7038,0,319.2,0,"ACRC",1
"ACRV1",195.15,-279,2.83411654135338,0.319926873857404,106.4,0.684485,301.55,0.19483,410.25,0.01034,131.25,0.368965,"ACRV1",2
"ACSBG1",227.9,-299.2,3.16841103710752,0.283524904214559,105.1,0.75862,333,0.01724,417.6,0.01034,118.4,0.73448,"ACSBG1",1
