"GSM4027437","GSM4027439","GSM4027441","GSM4027442","GSM4027444","GSM4027446","Symbol"
-3.5,3.7,13.4,-3.3,-10.9,-11.7,"KRT83"
6.4,0.2,-5,7.6,8.3,18.5,"JMJD1C"
5.7,25.2,17.8,25.3,-3.4,-10.4,"RAP2B"
-1.5,-9.2,-4.1,-12.6,-11.9,-4.5,"CCL4L2"
-8.9,-13.1,-10.3,-17.6,-18.3,-4.6,"C1S"
347.9,356.6,454.3,356.4,45.4,67.5,"SC5DL"
4.3,-8.7,-10.7,-13.3,5.4,55.2,"NEUROD4"
-13.2,-19.5,10.1,-0.4,-20.9,17.9,"LOC646731"
31.9,30.9,25.7,30.7,138.8,85.6,"OVCA2"
0.7,0,-4.1,-0.2,8.9,21.1,"UCP1"
0.4,-11.1,0.8,6.4,12.3,4.8,"NXPH2"
-0.4,-4.7,3.9,-8.3,-12.3,-2.6,"ZNF268"
-15.6,-8.2,-19.4,3.1,-19,-5.6,"NFATC3"
-12.3,-3.4,-6.8,3.1,-22.8,-10.7,"TUBA4"
-14.4,-12.4,-14.9,-12.8,-2.2,8,"COMP"
-12.7,-11.6,9.3,-7.2,-8.9,-13.1,"BDH1"
-27.2,-10.9,-0.7,-9,6.7,-19.8,"PREX2"
-5.5,-18,-2.2,11.2,-10,-14.3,"LOC650553"
-18.1,-0.7,-15.6,-13.2,-7,-13.8,"FGF12"
0,16.7,-10.7,-7.4,17.9,20.4,"BTBD16"
165.9,247.3,385.4,370.8,262.9,239,"LOC648852"
-9.7,-21.5,-26.5,-0.3,-15.1,16,"GPR109B"
-4.6,0.8,4.8,8.6,65,4.3,"KIAA1530"
2398,1368.6,7843.2,6360.2,7280.9,6052.9,"LOC441377"
-1.5,-16.6,33.7,-13.1,-2,5.7,"PGA3"
55.8,49.4,106.4,75.1,165.8,90.4,"LOC727773"
29.3,14.4,19.9,14.6,74.5,46.5,"CHST1"
27.8,11.4,45,68.3,12.6,-11.6,"ANGPT1"
-11.4,-3.1,3.4,-1.7,0.3,5.9,"LOC642325"
-13.1,16,-0.5,-5.6,0.4,-1.7,"WFDC9"
17.1,10,3.3,22.6,95.8,43.3,"TMEM104"
58.6,26.2,-2.4,-2,184.9,106,"CABP1"
184.3,155.2,171.7,118.5,40.3,21.2,"TMPO"
16,16.2,17.7,16.6,27.3,5,"UBE2D2"
17.5,3.5,5.9,-8.4,4.9,-1.3,"LOC440905"
845.7,867.2,1198.8,913.8,677.7,664.1,"LRP8"
322.3,309,486.6,535.1,598.7,586.3,"POR"
36.4,38.7,0.9,9.8,9,-2.8,"ZNF559"
2.5,-22.7,-19.4,3.3,0.6,-15,"LOC644554"
32.6,28.4,14.3,5.5,109.2,47.8,"P2RX5"
23.5,17.2,-0.2,0.4,2.2,-2.8,"BRCA2"
12.8,13,18.9,20.3,-6.8,23.7,"LOC442057"
238.7,228.9,315.5,305.5,777.6,691,"SGTA"
17.3,37,8.4,24.7,-1.3,19.8,"LOC652821"
19.2,15,67.1,31.4,18.3,103.2,"LOC127602"
509.5,540.9,452,467.8,714.9,672.2,"ABCC3"
-8.4,-11.5,14.6,-7.1,-1.5,-5.2,"KCNH6"
162.2,145.5,339.7,318.5,46,78.1,"RAB4A"
-7.6,-9.7,8.6,-8.8,6.6,-10.1,"TLR7"
68.8,79.9,224,254.2,4.2,20.7,"SLC9A6"
-7.9,13.5,-1.8,8.1,-5.7,1.2,"LOC158257"
-15.1,-4.5,21.2,-7.6,-14.5,-9.9,"LOC652438"
46,6.3,44.7,58.5,-4.1,5.7,"CNOT1"
-17.2,-5.7,1.4,-4.8,11.4,1.7,"LOC644710"
1364.9,1364.4,242.3,227.8,1246.6,1387.8,"RAB24"
24,-11.3,-2.3,29,29.5,26.5,"RTL1"
-3,-6.9,-6.6,4.5,6.4,-14.5,"TCF7"
81.5,52.9,-10.3,-5.6,127.3,147.7,"RARRES1"
5,-0.5,8.2,17.4,5.4,0.2,"LOC284232"
-3.6,-6.9,15,16.9,0.8,-9.8,"LOC643950"
3.7,4.8,9.4,15.9,-0.4,-10,"CCDC105"
1.7,-8.1,9.8,-11,-6.6,3.4,"FOLH1B"
7.4,11.6,7.9,2,32,24.4,"ADRA2B"
347.1,329.3,161.9,207.4,622.3,615.2,"UBE2L3"
9,-2.6,6.8,5.4,51.1,9.5,"LOC255275"
-1.1,0.5,-3.3,-5.8,-4.1,11.6,"FMO4"
125.8,128,184.5,210.9,287.2,284.7,"PMS2"
4615.6,3376.9,5170.6,5427.1,3042.1,3269.2,"LOC643287"
17.3,-4.8,26.7,-0.2,-2.4,21.2,"LOC196549"
1013.9,971.2,857.7,868.7,1258.2,1270.7,"GMPR2"
29.5,36.2,22.3,37.3,59.1,8.7,"LTF"
5.6,2.6,19,-1.7,1.8,13.1,"LOC646617"
-5.8,-14.8,9,-5.9,-3.8,1.8,"LEREPO4"
20.4,20.2,9.2,38.6,44.3,30.3,"SHISA4"
0.6,-3.1,-8.5,-1.8,2.1,-17.2,"LOC653764"
5,-10.8,-20.9,-3.5,-20.6,-6.2,"AFF3"
808,771.8,1128.6,896.3,270.2,302.4,"OGFOD1"
1.9,-1.8,-8.3,-1.7,-4.4,-8.7,"OR4K17"
31.6,35.4,36.1,27.9,12.6,-5.7,"ENTPD6"
-19.4,-5.4,2.5,-19.2,-1.4,-14.5,"LOC127011"
8.8,-1.4,-14.1,-16.4,9.9,0.6,"LOC642397"
451.8,477.8,111.5,92.1,335,358.2,"GPHN"
36.1,9,11.7,8.3,-0.1,10.7,"TMCC1"
12.1,6.8,26.2,-7.2,-1.5,10.1,"LOC654249"
147.6,100.5,188,181.4,248.5,263,"KIAA0649"
-8.1,-4.4,-4.2,-0.3,47.4,20.2,"C1orf129"
2.1,16.3,5.3,33.5,8.8,-0.4,"KIAA0692"
21.3,2.7,9.4,5.8,16,9.6,"MAZ"
1175.9,1214.6,1167.2,1247.1,114.8,184.5,"TMEM41B"
-6,-6.3,3.8,10.4,-8.7,-0.5,"MGC88374"
-10.3,1.8,5.6,-5,8.5,-9.9,"LOC643824"
108.3,136.2,124.9,138.9,342.3,327.1,"NR1H2"
7.1,-5.5,-3.4,-3.2,9.3,19.5,"LOC651561"
403.5,385.5,283.5,287.6,698.4,696.3,"HIRIP3"
7.6,6.2,-5.8,5.7,-6.6,3.6,"LOC127406"
-19.5,1.9,5.9,36.2,5.4,-3,"FGB"
-9.2,-14.6,-18,-15.6,-14.3,-9.5,"HOXA3"
520.3,425.8,482,503.7,1215.2,1216.7,"C19orf24"
102.3,102,208.8,194.4,460.5,426.5,"TRIM21"
-17.6,-9.7,-14.7,-17.2,38,-13.3,"CASS4"
10,6.5,-10.1,17.5,1.2,1.4,"HCRTR2"
1.1,-3.4,3.6,26.4,-3.1,-13,"YY1AP1"
151.4,140.6,53.8,41.8,148.8,151.7,"CDYL"
29.5,45.7,32.5,3.6,153.9,109.8,"FKBP2"
21.7,51.5,12.2,19,29.8,113.4,"CCDC74A"
356.6,400.4,281.4,263.6,38,47.1,"MAP3K4"
326.5,272.5,484.8,571.6,667.4,693.9,"SMPDL3B"
37.9,41.2,22.7,13.8,56.3,8.8,"KIAA2010"
3.3,7.6,7.6,12.4,8.2,20.4,"XAGE1E"
-7.1,-11.5,-0.6,3.1,-5.5,0.1,"LOC649527"
82.7,191.8,944.4,1129.2,278.3,372.3,"LOC650098"
1334.5,1182.1,1133.7,1077,2050.3,1981.6,"TTC4"
20.6,6.8,37.2,23.8,55.9,102.8,"LOC339799"
36.8,38.8,46.9,58,162.8,155.9,"ARHGDIB"
-9.5,12.5,-2.2,13.7,18.9,27.8,"LOC641772"
20.6,16.9,13,5.5,-9.8,42.3,"LOC651186"
2.2,-3.2,4.9,21.1,-2.3,-12,"OR6S1"
-12.1,-4.2,-21.8,-10.7,-9.7,9.4,"LOC642009"
3743,3526.9,4128.1,4417.5,5413,5059.4,"LSM7"
-6.6,-23.8,-19.6,-13.2,-8.7,-22.3,"MME"
54.1,80.4,109.8,131.4,260,198.9,"KHK"
-20.2,-14.2,-12.2,-17.7,-8.4,-10.1,"LYPD5"
-18.9,-3.9,-5.1,-8.6,1,-15.6,"CXorf24"
6.8,-1.1,20.4,-5.1,23,-4.5,"CDRT1"
-12.2,-6.6,-16.3,-1.5,-6.3,-8.4,"ATP6V0A4"
-4.8,-6,-10.6,6,20.3,-14.4,"C9orf153"
-4.6,2.8,-9.1,-9.1,10.6,-7.9,"GDF10"
41.8,37.3,19.6,27.5,52,114.9,"RBMX2"
-1.1,-10.6,-8,12,4.4,8.8,"LOC653182"
-8.9,-7,-0.2,6.5,2,0.8,"NBPF5"
3.1,-16.7,-9.4,-10.3,-9.7,-11.4,"TMCC1"
-7.2,3.9,-1.2,10.5,1.9,-4.2,"RHOJ"
16.5,14.1,33.4,150.4,31.5,45.8,"LOC653349"
4.5,15.2,-1.8,-6.5,-15.3,0.8,"CHRDL1"
-5.5,-16.1,-12.7,-4.5,-20.1,-6.8,"MGC44328"
143.2,129.5,270.6,241.9,411.2,401.7,"KIAA1267"
42.9,55,22.1,31.4,34.3,42.1,"LOC643558"
8.9,3.7,6.4,1.7,-4,19.2,"ZNF683"
2.2,-13.4,-7,18.3,18.7,4.4,"LOC643446"
-7.3,-8.4,-13.9,-12.8,-0.4,-5.2,"EIF4G1"
14.9,17.5,-0.6,1.7,21.4,23.8,"LOC644001"
125.8,134.4,156.9,125.4,65.7,63.5,"HDLBP"
11.7,13.6,39.2,68.4,65,45.9,"ALOXE3"
-6.9,-13.8,-9.5,-5.2,5,-0.4,"BCORL2"
-14.9,5.6,-7.7,-0.2,1.9,4.4,"LOC649937"
-8.4,3.3,10.9,0.8,-3.8,2.9,"LOC646114"
134.8,144.6,102.5,100.3,-5.4,12.2,"VPS8"
2.1,14,-1.5,-3.5,11.6,14.4,"LOC642464"
119.4,152.5,109.7,100.2,75.6,100.9,"HMG20A"
4,-3.2,-3.7,-5.2,4.7,10,"PEX16"
8.9,3.6,-1.8,0.5,3.1,11.9,"SULT1A4"
-14.8,-8.3,-6.7,2.2,-16.6,70.9,"LOC647413"
1262.7,1072.5,2241.6,2327.1,949.4,961.6,"MGC40489"
-4.8,2.5,11.4,7,23.3,3,"LOC644452"
-9.7,-1.9,0.5,-5.1,-6.2,-11.6,"LOC649817"
-4.7,-1.5,6.7,-4.9,-6.9,-3.5,"TXNRD3IT1"
15.6,35,34.4,30.9,17.9,8.5,"LOC388397"
-3.8,3.3,-9.1,-4.4,-17.9,-4.7,"POLR2J4"
-11.6,-6,-7.4,11.5,-15.1,-3.3,"LOC642252"
70.5,70.4,33.3,41.7,35.3,-4.4,"AASS"
-0.3,-5.4,-7.7,2.7,-9.2,0.5,"LOC642335"
14.9,11.8,71.8,33.7,14.7,20.5,"TNRC18"
-13.6,-4.2,-11.1,-9.8,-16.7,-7.8,"MAP1B"
62.5,93.6,302.3,233.1,211.6,227.5,"FARP1"
800.2,972,500.1,336,374.8,346.4,"INO80"
-14.2,-2.3,-2,-21.7,-14.7,1.9,"LOC653468"
25.4,18.2,-10.2,-1,-1.3,-6.1,"SPEF2"
9.3,-8.5,0,8.2,-17,-5.5,"LOC651686"
14.1,-6,-3.8,-16,0.5,13.3,"TMEM178"
40.9,46.1,121.7,108.6,12.6,7.7,"FBXO11"
-14.3,-0.6,30.4,9.1,10.8,9.5,"ABCC13"
-17.2,2.6,9.3,4.7,2.5,-6.8,"LOC642757"
62.8,66.7,-5.1,-2.4,86.5,84.2,"DHX58"
425.7,455.9,281,211.9,556.9,515.4,"SPA17"
4.2,-13.4,11.9,-19.6,6.8,-2.9,"WFDC8"
51.5,50.1,33.4,10.1,48.3,7.9,"SRD5A3"
6.1,9.6,-0.7,3.5,-5.6,-3.6,"FRY"
-7.5,-15.2,7,9.3,2.8,-2.3,"LOC440896"
-2.9,5.9,-6,2.2,-15.3,0.7,"UNC13C"
794.2,758.5,655.5,617.7,173.3,178,"CASP4"
3.5,29.6,28.7,25,12.7,11.7,"ZNF600"
17.8,-9.4,-0.4,-5.4,-7.8,-5.5,"VAPB"
-18.9,-5.2,-1.5,-10.1,-1.5,-9.7,"DCLRE1C"
334,280.6,78.1,90.1,49.5,98.3,"C9orf85"
1,6.6,-3.3,1.7,-12.5,9.9,"CHST5"
56,23.6,2.4,4.9,111.4,113.6,"CBY1"
269.6,242.5,125.4,93.3,531.7,546.7,"RILPL2"
156.8,172,319,325.1,61.3,94.4,"CHN1"
48.9,51.6,20.8,16.6,11.2,19.2,"ZNF438"
-2.6,-11.4,32.9,11.1,-19,-0.4,"ADD3"
-7.2,-8.4,-0.9,-12.3,2.9,13.8,"LOC648044"
1002.4,1098.2,577.5,599.5,8.8,92.4,"RHOT1"
25.1,38,27.7,45.1,7.2,-2.3,"ACSL5"
5824.1,4596.7,7961.9,5880.2,13362.1,10479.3,"LOC644934"
-7,-6.4,-5.5,-11.3,-0.3,7.9,"MSL3L2"
5.3,-1.2,-5.8,-11.4,45.4,14.7,"N4BP3"
-7,-3.8,-2.5,-3.1,5,11.8,"SFTPA1"
-0.9,17.4,3.1,15.8,9.3,1.8,"ESR1"
12,-8.1,23.6,27.2,4.1,-15,"ATRN"
13.9,3.3,-11.2,-12.2,-0.3,-9.6,"KIAA0947"
406.4,375.7,442.6,510.9,764,737.3,"PEX11B"
-7.6,6.1,3.6,2.7,10.8,-14.8,"CPNE9"
-11,24.1,20.3,9,-18.9,3.6,"LOC644222"
-6.9,-7.9,0.3,-11.1,1.3,21,"LOC653832"
-10.7,-4.2,-15.8,-1.5,-2.1,-9.1,"LOC642859"
-1,-4.3,3.4,-5.5,-2.2,4.1,"LOC652463"
107.7,67.9,55.8,69.7,141.5,130.7,"DVL1"
10.5,34.7,7.5,16.4,1.1,50.3,"LOC643913"
2.7,-5,-3,-9.2,-13,3,"IFNA8"
807.5,712.4,898.1,733.1,1282.1,1358.2,"CPT2"
1307,1305.2,1963.7,2126.9,662.1,646.3,"CDC123"
39.7,50.3,81.1,52.6,76.1,70.1,"ANXA6"
24.8,4.9,4.2,2.6,4.3,17.2,"ELAVL3"
116.7,54,96.9,119.3,218.6,227.6,"DAK"
8.5,-10.8,-2.1,-16.8,-7.6,-8,"RUFY4"
-14.5,25.8,10.5,-2.5,-1.5,-1.1,"LIPL4"
466.8,490.9,585.1,495.2,5,14.6,"DOCK7"
7.4,5.5,-12.4,0.5,13.5,-9.6,"LOC653410"
-0.1,-0.2,13.1,-3,-9.2,3.6,"LOC653867"
-0.5,-5.7,7.9,-7.6,-12.3,14.3,"LOC653303"
-5.4,-14.8,-10.8,-0.1,-7.3,-14.2,"FHL2"
-6.1,-7.7,4.1,-8.2,-10.9,-12.6,"SLC5A4"
7.9,-2.3,9.1,7.7,4.9,-7.2,"LOC651022"
397.1,428.4,570.5,572.2,854.6,715.2,"C10orf61"
-8,16.4,10.4,6.6,-2,-9.9,"WDR5"
-16.5,-12.8,-8.9,-13,-15.2,-0.3,"PNLIPRP3"
494.1,435.6,2703.8,3072.7,399.8,411.3,"RRM2"
154.6,108.7,53.9,27,-6.4,-0.3,"KLHL24"
15.4,8.9,4.7,-12.7,4.1,38,"FLJ13224"
1708.1,1685.2,679.8,590.5,1761.5,2052.5,"SLC37A4"
146.3,215.9,339.3,289.3,99.6,120.5,"DBR1"
-7.8,-11,-6.1,-13.3,-16.6,-20.9,"USP1"
-17.6,-8.8,0.5,-15.4,-2.4,-14,"UPB1"
60.4,46,126.7,179.3,251.6,254.9,"MPRIP"
-19.5,-4.6,35.9,18.8,-18.7,-19.2,"RBBP8"
-2,21.1,16.4,2.5,15,-4.6,"LOC654164"
5.4,-1.3,4.1,-2.3,-12.1,5,"FLJ35220"
1817.1,2176.8,2286,2196.7,2541.5,2440.4,"TAF15"
-3.4,-12.6,-4.4,-5.4,-7.1,-11.6,"PHYHIPL"
14.1,17.9,11.8,4.4,18.5,4.3,"LOC389118"
-1.3,-16.8,3.7,20.1,-2,-4.1,"LOC644204"
12,-13.6,9.9,0.5,4.5,8,"LOC151234"
-3.9,-2.9,2.2,42.3,35.3,-5,"LOC648672"
-10.1,2,-19.3,-9.9,-14.1,-8.3,"FOXA2"
1121.3,1200.4,411.6,429.6,1290.3,1241.6,"SIL1"
500.7,525.7,467.8,516.5,711,735.9,"NOMO1"
47.9,26.3,14.9,2.7,-21.2,10.4,"NUDCD1"
97.4,81.3,33.6,50.5,184.6,169.8,"PFDN2"
1007.5,1176.3,7721.2,8007.5,1351.5,1751.7,"BCYRN1"
6.6,31.5,10.8,11,20.9,25.2,"LOC653100"
1335.8,1088.5,1538.1,1381.3,2722.7,2468.3,"DYNLT1"
24044.1,24912.7,22545.3,21587.6,9431.7,13615,"CLEC2D"
20.4,35.6,101.1,92.4,60.7,51,"SNX26"
18.4,23,-6.2,29,26,24.2,"HAPLN2"
-23,-12.6,-3.6,-8.9,-10.4,-14.3,"ADD2"
0,-2,-1.8,-17.2,-7.9,-18.9,"RAPGEF1"
95.7,112.4,99.4,95.2,352.3,340.3,"POMT2"
332.9,292.4,231.4,189.5,271.7,238.5,"KIAA0831"
0.3,9.2,25.3,7.9,-7.6,-10,"KIF27"
8.6,1.3,4.3,-7.4,-3.6,2,"HAPLN1"
160.1,151.3,177.5,190.5,521.8,518.6,"UBL5"
5,7.6,5,11.1,-17.2,-1,"GREM2"
-3.4,5.2,-0.9,4,7,0.6,"LOC645620"
6,-4.1,3.2,-11.2,52.1,20.8,"POLR2J4"
-9.1,-4.9,-12.2,-15.8,2.4,10.8,"KRTAP22-1"
33.8,50.6,39.4,51.6,14.9,-4.6,"GCC2"
-0.2,1.3,-4.6,40.2,7,4,"CCR1"
0.3,0.7,-9.5,11.6,-4.9,9.1,"UBD"
1.4,-11.8,-10,-11.1,-12.2,-12.8,"THBS2"
1,18.1,-3.3,-8.2,22.6,22.1,"LOC652606"
9,23.1,4.8,12.6,-13,19.3,"LOC649210"
38.5,44.3,49.7,65,112.8,140.4,"FUT11"
59.3,71.3,50.9,29.8,186,209.4,"C7orf29"
-12.3,-5.6,-0.1,-8.2,-6.2,-7.3,"LOC650006"
19.9,17.2,4.7,-4.9,-11.2,14.9,"LOC644958"
5.3,-4.8,6.2,13.9,10.8,14.2,"KIR2DL1"
-6.9,2.6,-8.6,-1.2,-0.5,4.9,"LOC641767"
-11.6,-1.3,-7.9,8.5,1.5,3.8,"LOC642816"
-2.1,3.5,42,45.8,22.3,8.2,"ERN2"
49.2,58.5,50.6,39,41.6,34.4,"ENO3"
13.8,12.7,-15.3,1.5,-3.9,-8.2,"LOC644243"
522.6,546,349.8,339.6,-3.7,4.8,"YOD1"
146.2,181.9,402.4,383,20.4,-4.3,"HERC4"
102.6,145.2,13.9,10.1,222.5,267.6,"SLCO3A1"
230.7,285,300.1,368.8,481.4,492.7,"POLR1E"
8.3,11.8,5.6,6,16.2,58.3,"VNN2"
-9.2,-8.7,-16.4,12.9,-14.4,-16.3,"LOC644548"
-3.4,-3.7,1.8,-10.6,-9.9,-4.2,"CELP"
296.9,300.2,328.8,294.9,642.1,637.2,"HSPBP1"
338.6,264.4,264.3,293.4,1089.2,1043.2,"WDR55"
2.4,7.3,-16,-9.8,7.9,-2.5,"FRMD4A"
354.5,357.5,211.3,221.3,536.4,516.6,"DFFB"
1,-6.3,0.6,5.7,39.6,9.3,"FABP1"
7345.1,8250.1,6052.9,5437.3,11113.7,13520.7,"SNRPF"
23,38,10,16.8,64.8,19,"GEM"
39.3,52,24.6,33.4,172,167.5,"SEMA4G"
-9.4,-0.6,7.1,12.4,4.3,26.9,"LOC647766"
-11.2,2.6,1.6,-1.3,-5,14.7,"LOC648585"
290.1,234,182.9,179.8,392.3,453.6,"LRRC14"
-1.1,4.6,7,20.1,16.5,-14.4,"FLJ11783"
13.6,-4.3,5.6,9,-0.7,12.1,"SLC12A3"
0.6,-12.4,-12,-9.9,-11.9,2.6,"OR51A7"
-3.4,4.4,-7.2,-0.5,3.3,0.2,"PCBP4"
2579.3,1993.4,1444.4,1151.8,920.3,1289.8,"LOC641848"
11.5,1.9,3.3,13.4,-2.4,58.8,"ZXDA"
19.7,-10.9,-2.2,-15.9,6.4,19.1,"CASKIN1"
495.4,583.7,603.4,741,329.7,370,"SLC3A2"
127.2,122.2,333.4,232.2,422.2,303,"LOC645937"
138,148.7,110.1,188.2,205.1,179.6,"LOC644584"
1332.6,1102.4,988.9,978.4,356.5,436.7,"SBDS"
-11.8,1,-2.7,2.7,0.5,-17.4,"COLEC12"
210.8,235.1,-20.1,-14.2,-8.6,16,"PTPRR"
24,39.8,35.2,18.4,122,152.8,"LOC642559"
279,327.1,405,307.6,9.9,16.5,"MTX3"
1,-9,-5.2,-4.4,-14.2,19.5,"LOC647500"
30.1,27.5,77.8,90.6,20.4,2.9,"ZNF93"
-5.9,-8.7,14.8,-2,13.9,-0.9,"LOC642965"
-8,-6.1,0.1,8.8,-8.6,-8.7,"SFRS2IP"
-0.7,-20.7,-10.2,-3.6,0,-17.2,"RABEP2"
19.8,-22.7,19,32.9,-17.5,66.1,"RAB9B"
2765.1,2656.4,539.1,688.5,3027,2866.4,"ZNF581"
24.9,-3.2,-9.7,14.9,7.4,8.2,"LOC644919"
-12.8,-14.2,-12.3,3.9,6.8,11.6,"LOC644468"
-3.9,-4.8,8.3,1,-0.7,-0.4,"TPH1"
12.8,-4.3,-8.4,5.5,3.7,-6.6,"LOC652448"
55.6,57.4,47.6,44.1,16.9,90.9,"CCAR1"
-19.4,-15.9,12.3,-8.5,-12.2,-5.5,"FAM26C"
2507.5,2344.4,1621.5,1801.5,1972.6,1670.9,"SERPINB1"
3216.4,2968.8,2986.8,2685.4,1052.3,1166.2,"NSMCE4A"
21.1,23.9,17.1,-12.9,34.6,11.2,"HORMAD2"
9.9,20.4,44,34.7,-10.6,12.4,"LOC387647"
-6.9,-7.1,-13.1,-17.1,-10.8,-16.4,"LGR8"
18.1,-4.3,39.3,-9.5,18.7,2.8,"LOC653547"
70.3,58.1,71.5,90.8,-4.1,45.7,"FAAH2"
-3.5,-0.2,-4.7,-12,16.2,0.8,"LOC642223"
3.9,6.3,8.6,-4.7,26.6,13.4,"LOC644921"
15.9,-7.8,16.7,0.4,-5.1,31.5,"CLCA4"
449.8,479.8,418.9,512.6,797.6,825,"MARS2"
827.9,725.6,326.3,360.3,1988.7,1898.6,"ATP5D"
16.7,-6.3,2.5,14.7,-13.1,4.2,"ANKRD20A1"
516.8,475,1915,1845.9,691,627.4,"LEF1"
509,468.1,399.8,454,830.1,813.9,"ATP5S"
675.8,699.8,44.5,39.7,208,207.3,"UGT2B7"
10789.2,10344.1,9013.4,9563.8,11751.4,13480.9,"C20orf24"
16,-4.7,-5.8,-10.4,19.8,4.8,"LOC641738"
11918.4,12926.8,7972.5,8905,2115.3,2315.2,"HSPA9"
-0.2,-5.9,13.3,2.2,-4.8,21.1,"WNT16"
-4.9,-3.7,-6.6,-19.5,5.1,-6.5,"FAM110B"
420.1,436.4,593.5,467,9.5,27.7,"KIDINS220"
-12.3,-2.2,6.1,-8.6,6.1,7.5,"SGK2"
63.8,60.9,54.4,85,104.5,116.6,"LENG1"
0,14.7,-0.3,1.5,-2.7,13.1,"C8orf42"
-6.7,0.5,-11.6,-19.4,-22.2,-23.4,"ZNF546"
-6.5,0.1,-5.6,-2.7,7.6,2.2,"AP3B2"
17.7,14.3,1095.9,894.1,187.9,182.4,"DPYSL3"
36.7,44.3,-4.6,8,31.7,61.3,"TGM2"
633.8,833.1,521.4,463.3,46.8,26.1,"PELI1"
-9.8,-1.1,16.6,-3.5,10.1,-0.5,"LOC652094"
39.4,14.9,-8.7,4.2,39.8,14.8,"CMTM3"
-2.2,-7.6,-9.1,-18.5,5.4,-5.2,"SYPL2"
3180.2,2509.4,1996,2330.4,3706,3212.9,"LOC643997"
-26.3,-15.2,-1.9,-18.5,-4.3,4.1,"LTK"
-2.7,3.3,25.5,9.8,25.9,7.9,"ARL5C"
-11.4,-6.1,5.1,7.2,6.1,3.8,"IGSF1"
13,3.3,20.4,-7.3,3.4,49.5,"ZFAT"
15.6,24.8,34.2,-12.8,9.9,99.7,"STK40"
-2.2,2.9,8.5,-7.1,-18.8,-15,"LOC652701"
76.4,69.9,21.1,39.5,2.8,-1.6,"ARSJ"
7.1,15.4,13.7,-1.1,15.9,12.9,"PSIP1"
341.2,358.2,200.3,213.5,243.5,231.9,"SH2D4A"
1370.9,1084.3,738.4,687.3,1961.4,1871.3,"EIF1B"
43.2,32,86.6,32.4,2.9,22.8,"C3orf62"
-4.6,-0.4,13.7,-4.4,-3.5,-11.1,"LOC645342"
-7.4,0.4,4.2,-7.2,-18.5,1.1,"SPANXN5"
-6.9,-16.2,-14.5,-21.5,-3.3,0.6,"DEFA1B"
226.8,308.2,284.9,277.9,555.7,507.2,"ZDHHC5"
5.8,10.3,12.6,10.4,15.5,29.7,"FAM108A1"
16.3,5.6,14.1,24.2,23.4,5.3,"LOC642255"
24.5,26.3,4,20.1,9.7,12.8,"LOC286310"
7295.2,6769.3,5661.6,6373.5,1191,1229,"CCT2"
37.3,14,47.1,46.1,-3.6,24.8,"AKIRIN1"
24.7,13.6,56.7,64.4,-2.2,6.4,"ZFP57"
-13.7,-12,-19.2,-9.5,-8.2,-10,"MAMDC2"
64.6,110,123.4,105.9,169.9,158.4,"TRPM4"
-4,8.8,-3.9,8.1,10.5,27.2,"MGC27382"
1476.4,1173.3,1030.8,1124.8,2997.1,2768,"DDX56"
13.3,17.1,-2.2,20,6.9,-0.7,"DDX11"
3.6,11.6,9.5,-5.1,5.3,5.7,"UPF2"
0.6,-8.7,-4,3,-12.2,-29.9,"LOC729012"
704,703.2,677.7,529.9,775.2,721.7,"CHIC2"
-5.3,2.1,1.9,7.1,2.9,44.3,"LOC646521"
-5.4,16.3,-4,14,2.8,17,"LOC646861"
63.8,95.1,275.1,228.3,-10.7,-3.3,"MLF1IP"
929.2,1162.5,373.8,480.6,334,301.5,"LOC730746"
-0.5,8.1,-1.2,-1.2,-9.2,-0.6,"LOC645333"
246.3,279.9,475,464.6,102.7,80.6,"PPFIBP1"
7.5,-16.9,-1.8,-4.3,4.2,-5.9,"BNC1"
-8.4,-8.8,-8.4,-3.9,14.4,-5.7,"LOC149224"
10.1,0.9,19.9,12,1.2,-7,"LOC649990"
1250.2,1421.2,3458.9,4119.8,1389.2,1186.4,"GART"
0.2,-4.3,-5.5,-6.3,11.6,-7.9,"TUBA3C"
1259.3,1296,1395.5,1448.2,428.6,408.7,"INTS10"
-5.1,11.7,9.1,-0.2,-0.8,-7.9,"LOC650889"
-8.6,-8.1,-11.9,-9.3,-12.1,-0.5,"LOC652127"
49.1,58.4,66.7,77,152.6,137.1,"ULK3"
48.1,39,42.6,82.1,34.8,5.5,"CSNK2A1"
6.9,0.9,-0.7,4.6,-6.2,9.1,"LOC646094"
84.3,94.4,349.2,390.2,569.5,552.7,"AGPAT1"
19.3,-1.6,-7.3,4.2,-15.6,-0.2,"LOC647163"
-2.7,8.4,-1.8,-2,-2.9,1.3,"IAPP"
-7.7,-9,17.6,6.8,8,-7.3,"GRM3"
5.4,-9.5,3.2,6.3,2.5,20.8,"WDR78"
75.2,83,78.7,126.7,205.4,224.5,"KPTN"
8.4,11.1,6.4,22.9,12.1,-2.7,"LOC440910"
6352.9,6870.4,8169.1,7345.1,9609.2,8391.3,"TIMM23"
35,46.3,39,-7.7,118,62.8,"LOC653206"
27.9,7.5,31.7,18.4,64.1,16.4,"LOC283874"
91.1,114.6,141.9,108.5,98.3,100.6,"SETD3"
-14.4,17,22,4.3,-2.2,-4.5,"KCNIP4"
24.5,19.1,4.2,12.4,12.1,12.4,"LOC727735"
9190.9,7743.8,5636.3,4507.1,7926.2,7950.1,"LOC651202"
