ID_REF	MiaPACA2_EV	MiaPACA2_EV.Detection_Pval	MiaPACA2_ARHGEF10	MiaPACA2_ARHGEF10.Detection_Pval	Hs766T_shGFP	Hs766T_shGFP.Detection_Pval	Hs766T_shARHGEF10	Hs766T_shARHGEF10.Detection_Pval	
ILMN_1718558	244.2	0	5210.7	0	23169.3	0	4050.8	0	
ILMN_1667561	694.7	0	8424.1	0	13736.7	0	950	0	
ILMN_2066020	7693.8	0	20096.3	0	24888.1	0	8974.9	0	
ILMN_1715551	105.4	0.75172	269.9	0.58966	353.1	0.05517	130.9	0.32414	
ILMN_1693693	113.6	0.24828	266.1	0.65517	329.7	0.18621	140.4	0.13793	
ILMN_1778660	229	0	251.3	0.93103	320.8	0.24138	121.5	0.62759	
ILMN_3232161	107.7	0.61724	348.8	0.0069	437.1	0.01034	153.6	0.03103	
ILMN_2372316	118.9	0.08621	347.4	0.0069	406.7	0.01034	132.1	0.30345	
ILMN_2407434	104.3	0.78966	422.8	0	366.7	0.02414	118.4	0.73448	
ILMN_1762410	129.1	0.00345	288.3	0.28966	314.1	0.31724	107.3	0.98621	
ILMN_1691892	334.1	0	11664.8	0	18016.3	0	950.9	0	
ILMN_1727490	117.3	0.13793	280	0.3931	315.2	0.3069	129.7	0.34138	
ILMN_2366445	2817.6	0	14981.7	0	10512.6	0	1589	0	
ILMN_3247621	112.6	0.3	344.6	0.01379	290.1	0.67586	132.2	0.30345	
ILMN_2189406	175.5	0	2512.2	0	4420.8	0	315.6	0	
ILMN_2094061	1469	0	10713.3	0	5850.7	0	913.8	0	
ILMN_2375830	134.2	0	777.3	0	859.6	0	145.1	0.07586	
ILMN_1675454	104.5	0.78276	234.1	0.98276	301.1	0.5	119.9	0.66897	
ILMN_3236965	112.7	0.29655	479.1	0	474.8	0.0069	133.7	0.27586	
ILMN_2227377	119.3	0.08276	282.3	0.34828	299	0.54483	129.4	0.34828	
ILMN_1790149	116.3	0.15172	271.1	0.57241	398.7	0.01034	119.3	0.68966	
ILMN_3245773	260.5	0	4487.1	0	1952.2	0	201.3	0.00345	
ILMN_1734653	141	0	311.6	0.07241	348.8	0.07586	118.7	0.72414	
ILMN_2115633	1263.9	0	23003.6	0	20881.3	0	4116	0	
ILMN_2079803	6769.3	0	25952	0	22920.2	0	5718.7	0	
ILMN_1709035	99.6	0.93793	288.3	0.28966	334.7	0.14483	124.8	0.49655	
