"GSM1583284","GSM1583285","GSM1583286","GSM1583287","GSM1583288","GENE_SYMBOL"
2.332352,2.3459494,2.322009,2.4029229,2.4269698,"CCR2"
7.3604646,6.900749,6.674042,7.8359838,7.5818534,"SP8"
3.9919147,3.8665688,4.974107,4.0719237,5.931872,"CYP3A4"
13.223426,13.259187,12.642708,12.641577,12.797718,"CBX5"
2.5000465,2.3459494,2.3294368,3.062463,2.4480386,"FCRL3"
12.881846,12.75611,12.530271,12.563311,12.702046,"CCNB1"
4.971359,6.575047,4.951802,4.9189234,6.355756,"ITIH1"
8.192564,7.528122,9.339822,6.8837266,9.691161,"POLK"
2.332352,2.8694797,2.322009,2.4029229,2.3246098,"LDLRAD3"
7.277414,7.8506947,7.1711383,8.629274,6.3788977,"LOC392288"
3.8061886,3.6320407,5.881182,2.4029229,5.890387,"TMEM176A"
3.5816934,4.2989626,3.0073123,5.3602486,2.8424377,"TBX6"
2.332352,2.3459494,2.322009,2.4029229,2.3246098,"C10orf67"
2.9923,3.0910563,2.7399242,2.4029229,2.3246098,"LOC100132764"
12.137322,11.199883,12.068899,11.408467,12.218491,"PQLC1"
10.743388,10.41545,10.796608,9.841047,10.757255,"SUMO3"
9.645453,9.998067,9.173424,9.986265,9.342766,"TSTA3"
9.062062,8.580898,9.15988,8.209293,9.149303,"FANCC"
2.332352,2.3459494,2.322009,3.6814466,2.5705416,"SYCE1"
11.897354,11.435166,12.133188,11.465887,12.278001,"DENND3"
6.0104175,6.257172,6.174648,6.078718,6.499012,"KBTBD2"
2.332352,3.6182423,2.5096238,3.3930361,2.3246098,"LOC100129675"
12.14159,11.678622,11.342367,11.419268,12.054856,"PRPF6"
4.2300897,3.5742648,3.483447,4.151854,3.265265,"LOC51145"
4.8080616,4.469207,5.076318,4.8764167,4.4585543,"C21orf67"
11.398093,11.233535,11.3516445,10.898935,11.133305,"SAMM50"
5.833976,5.7400756,5.336721,6.25564,5.369596,"TMTC1"
3.9636781,4.604291,3.4557173,3.1735077,3.058258,"KLHL22"
7.711714,7.859555,7.6585493,7.121045,7.725757,"TLK2"
7.959033,7.2896953,8.756384,6.057717,8.655292,"LOC100505695"
2.332352,2.6792054,2.783595,3.4152105,3.4862874,"CEP89"
3.3302462,4.819708,4.966675,2.4029229,3.932963,"PHYHIPL"
4.459583,4.345766,4.444207,4.3302937,5.033934,"TP53TG5"
2.332352,2.3459494,3.4776812,2.4029229,3.223172,"FOXG1"
8.005551,6.953756,8.767309,4.2350583,8.364024,"C1orf21"
14.131431,14.225042,13.224728,13.737332,14.037782,"HNRNPA1L2"
3.0069551,2.3459494,2.6887445,3.5437427,2.3246098,"KYNU"
14.3639345,14.516082,13.39171,14.640967,13.993789,"LOC100132247"
6.924054,7.4888725,6.286464,6.799397,6.4181986,"TMED1"
10.568938,10.85531,9.799101,10.910125,9.620127,"NOL11"
4.6748514,4.584052,4.1130524,6.758833,5.439063,"CYP2C9"
9.839989,9.578222,11.589959,9.339462,10.465598,"NDFIP2"
3.8752348,3.9468155,5.2486405,4.1322584,3.729634,"FOXN2"
2.6352258,5.1864824,5.397262,4.1096888,2.9856694,"MAL"
10.280572,9.986265,10.150125,9.128998,10.651144,"KIF11"
2.332352,2.3459494,2.322009,2.4029229,2.3246098,"SLC22A3"
10.483689,10.359863,10.358415,9.76269,10.313767,"GTF2F1"
2.332352,2.3459494,2.322009,4.0111823,2.3246098,"CABS1"
2.332352,2.3459494,2.322009,2.4029229,2.3246098,"CYP2C8"
11.286069,11.431042,11.508654,11.153435,11.68122,"AZI1"
6.977659,6.4818244,6.964463,6.6598225,7.878874,"ZNF613"
4.5597777,3.2955754,3.672015,4.7245364,4.2217565,"C20orf197"
2.332352,2.3459494,2.322009,2.4029229,2.3246098,"LOC100129312"
4.724726,5.324912,4.3188396,5.9387345,5.1176214,"ORAI3"
2.332352,2.3459494,2.322009,2.4029229,2.3246098,"FMN2"
9.013,9.262199,8.295059,8.467327,8.275704,"DGCR6L"
3.4534314,3.3298464,3.0681176,3.4660227,3.1401112,"CEL"
10.753491,10.644756,10.519402,11.044364,10.43047,"PITX3"
10.456678,11.059573,10.107373,11.332295,9.408382,"STOM"
5.3930016,4.851505,6.894972,3.2583098,7.0230536,"ATP7A"
2.332352,2.3459494,2.322009,2.4029229,2.3246098,"C14orf183"
2.332352,2.3459494,3.8415248,2.4029229,3.4436722,"LOC400456"
4.7625637,4.3685184,4.5666423,5.2712884,4.9602265,"IL1R1"
8.657498,8.163224,9.137278,7.498897,9.042437,"TMEM218"
6.762722,6.470643,7.0470033,6.586122,7.108561,"CEP120"
7.383936,6.97245,8.0794935,6.7921486,8.032536,"MRPL19"
7.2794604,7.7827377,7.2027373,8.228706,6.2954135,"C10orf116"
3.637017,3.8178813,3.7606823,2.4029229,2.596799,"MBL1P"
2.332352,2.967933,3.272367,2.4029229,3.7443094,"SUGT1P3"
8.952204,8.466804,8.932322,7.0200377,8.956402,"PTPN18"
11.157679,12.049597,10.062847,11.434718,8.989273,"PGD"
5.9849906,6.588343,6.4011736,7.3632317,5.6945715,"TCAM1P"
5.174137,6.072106,5.3112726,5.33415,5.442212,"LINC00476"
12.497422,12.764801,12.68887,13.03522,13.263374,"ERH"
13.291795,13.647639,12.826191,13.638479,12.39239,"TMEM14B"
6.8960156,7.2763596,6.4429097,7.607056,5.4737267,"ZBTB47"
9.281171,9.411772,9.111297,9.996025,8.966243,"GTF3C4"
3.7479463,3.761988,3.321466,3.3685987,2.3246098,"MYO7B"
4.964009,4.622288,4.6514077,3.386485,5.7973666,"PPAPDC1A"
4.2083974,4.836816,4.04882,4.5863132,3.4139426,"GRTP1"
4.773276,5.109955,7.4931226,6.1248546,6.3870945,"SMOX"
4.574228,4.9834228,4.611506,4.649101,2.9448605,"HEPH"
4.1688685,4.998824,4.6457906,4.1052556,4.5375376,"STX7"
2.708695,2.3459494,3.5720851,4.006338,3.577475,"VIL1"
11.399122,11.147601,11.4446945,9.666414,11.953337,"RUNX3"
2.814512,2.3459494,2.9452062,2.4029229,3.5463057,"FUT6"
3.8117943,4.8449383,4.0037575,4.8876896,3.3639653,"LTN1"
6.982966,7.69357,6.4050484,5.8522024,4.685041,"PRRC2A"
2.332352,2.3459494,2.322009,2.4029229,2.3246098,"PCDHB17"
5.6135063,5.650302,5.9448214,4.284661,5.6822643,"OGFOD2"
6.899868,6.6814804,7.631865,4.8575144,7.4482203,"POC1B"
5.7400756,5.812201,7.716398,5.890387,7.928683,"SLCO3A1"
9.7505455,9.573499,10.135442,9.04845,9.870825,"RPL23A"
3.382103,2.8072066,3.4271085,4.4268475,2.8478565,"BAGE4"
5.031204,4.3139954,4.712001,3.9487453,5.0267043,"KRTAP13-1"
9.836256,9.521092,9.473237,9.862108,9.331025,"LRRC61"
4.526673,4.0096316,4.5104446,2.4029229,5.002789,"GRK4"
7.504194,7.3247933,7.843526,7.600807,7.8790965,"C21orf91"
11.607498,11.675804,11.719074,11.627385,11.714328,"TPM4"
2.332352,2.9976969,3.2379694,2.4029229,2.5127032,"XRRA1"
9.266065,9.470667,9.176114,9.352018,9.110504,"FEZ2"
5.610078,5.3042474,6.5825315,2.9471302,6.566048,"NUDCD1"
7.546179,7.7039475,7.6966357,8.242069,7.60788,"ZZZ3"
6.5822964,6.372062,6.4836917,5.8311973,6.71761,"UBXN6"
7.57353,7.474239,8.05007,7.278059,8.169397,"FBXO30"
9.629087,9.74871,8.590487,10.190258,8.8743,"SLC41A3"
3.0200589,2.3459494,2.4887903,2.4029229,2.3246098,"C4orf37"
4.968464,4.614682,4.1837597,4.1653214,4.900117,"MOXD1"
8.867593,8.661073,9.610095,6.9114776,9.17453,"C7orf74"
5.874674,5.5661616,5.1577406,6.0366797,6.1665597,"SLC13A2"
8.926395,9.406436,8.111504,9.068805,7.9703393,"LATS2"
4.08645,4.0437207,5.6247363,4.877684,4.9864187,"CD80"
2.332352,2.3459494,2.322009,2.4029229,2.7586992,"ALDOB"
3.093711,4.041461,4.072212,2.4029229,3.2445407,"CAMK1G"
2.332352,2.3459494,3.8953214,2.4029229,3.2068143,"TRHR"
11.707819,11.497236,11.569642,11.1327095,11.550747,"MAPKAPK3"
6.6870074,6.3031063,6.685134,6.601775,6.919389,"DLGAP3"
2.332352,2.3459494,2.322009,3.3449476,2.3246098,"ZNF167"
10.133662,9.776756,9.300685,10.431168,9.445516,"LOC100128714"
6.760562,6.845667,6.213818,6.1577997,6.4915237,"OPN1MW"
6.314239,5.828227,5.5676417,6.4053187,5.9718356,"SEMA4G"
2.332352,2.3459494,2.4587128,2.4029229,2.3246098,"DACH1"
8.995068,9.450389,10.06961,8.82128,9.230823,"CCR3"
5.7247458,5.3840346,5.908624,4.1677957,5.8114524,"TBC1D22A"
3.6417365,3.6044836,4.9676895,2.4029229,5.4290032,"ADAMTS6"
2.332352,3.0036757,2.5769143,2.4029229,2.6402824,"HES6"
5.6124935,5.708985,4.980033,4.93486,4.1792617,"ZEB2"
3.3356314,2.3459494,2.9808955,2.4029229,3.1067865,"LOC646576"
4.479021,5.3808727,4.5627904,4.7015553,3.8403308,"FAM45A"
9.53599,9.55995,9.858054,9.3686695,10.068712,"TPM4"
7.017596,6.8533125,7.7905483,6.406367,8.149238,"RG9MTD3"
2.332352,2.3459494,2.322009,2.4029229,2.3246098,"CSF3"
5.0199394,5.132034,7.6743197,5.5289536,5.1934795,"CD177"
2.332352,2.3459494,2.322009,2.4029229,2.3246098,"GIMAP1"
11.854207,11.960515,11.679577,12.272004,12.1296625,"ZNF688"
7.3897095,7.0120244,7.501946,6.9577675,7.5010533,"PHF20L1"
8.021999,7.4354973,8.0929,7.096882,8.065266,"LRRC28"
2.7965121,2.963702,3.7599456,2.4029229,5.444239,"AMBP"
