"","GENE_SYMBOL","UL_mean","nonUL_mean","DE_UL","Magnitude","FoldChange_UL"
"PGR","PGR",2337.64214285714,1541.53529411765,796.106848739496,796.106848739496,1.51643763965532
"TNFRSF12A","TNFRSF12A",321.782857142857,1114.56470588235,-792.781848739496,792.781848739496,0.288707201515157
"GSTM3","GSTM3",1447.44166666667,657.285947712418,790.155718954248,790.155718954248,2.20214911288499
"COL6A1","COL6A1",1871.19767857143,2660.70490196078,-789.507223389356,789.507223389356,0.703271406457916
"MST4","MST4",735.377857142857,1521.25882352941,-785.880966386555,785.880966386555,0.483400882064721
"RPL19","RPL19",13545.2785714286,14328.4725490196,-783.193977591036,783.193977591036,0.94534002316635
"NDRG1","NDRG1",770.772857142857,1553.95882352941,-783.185966386555,783.185966386555,0.496005972276826
"SRSF5","SRSF5",1585.65476190476,2361.49934640523,-775.844584500467,775.844584500467,0.671461020863083
"STAT6","STAT6",544.082142857143,1318.53921568627,-774.457072829132,774.457072829132,0.412640091689621
"NR2F2","NR2F2",848.676666666667,1622.40261437908,-773.725947712418,773.725947712418,0.523098680404598
"NDUFA4","NDUFA4",3609.38285714286,4380.90784313725,-771.524985994397,771.524985994397,0.823889245421358
"CD99","CD99",2926.79214285714,3692.76568627451,-765.973543417367,765.973543417367,0.792574561049355
"RPLP0","RPLP0",10884.446,10119.5750326797,764.870967320267,764.870967320267,1.07558330906686
"TMEM59","TMEM59",1272.68357142857,2030.94803921569,-758.264467787115,758.264467787115,0.626645067650305
"DRD4","DRD4",2495.48928571429,3248.5431372549,-753.053851540616,753.053851540616,0.768187208935462
"RARRES2","RARRES2",641.802857142857,1394.7568627451,-752.954005602241,752.954005602241,0.46015393384026
"CCDC6","CCDC6",1023.87642857143,1773.27156862745,-749.395140056022,749.395140056022,0.577394036359548
"LHFP","LHFP",1161.49428571429,1910.2931372549,-748.798851540616,748.798851540616,0.608018875774931
"LAPTM4A","LAPTM4A",7093.79142857143,7834.6862745098,-740.894845938376,740.894845938376,0.905434012291101
"PDGFC","PDGFC",1805.46428571429,1065.38725490196,740.077030812325,740.077030812325,1.6946554198083
"CRABP2","CRABP2",1119.90428571429,384.139215686274,735.765070028011,735.765070028011,2.91536047345115
"RCAN1","RCAN1",148.26,883.146405228758,-734.886405228758,734.886405228758,0.16787703502184
