"","GSM1399027.CBD","GSM1399028.CTRL","GSM1399029.CBD","GSM1399030.CTRL","GSM1399031.CBD","GSM1399032.CTRL"
"83",9.49179,10.0696,9.37871,9.33533,10.8313,11.1064
"84",9.53368,9.56555,10.722,10.5317,9.36029,9.46532
"85",7.29816,7.30003,7.36258,7.48456,7.05122,6.8548
"86",10.137,10.0317,9.94382,10.6468,9.9584,9.71627
"87",11.8829,11.9605,9.59047,8.14882,10.6602,9.8929
"88",10.5094,10.4126,10.5178,9.87511,10.5453,10.5464
"89",10.513,10.527,10.8249,11.1021,10.4701,10.4454
"90",8.72215,8.74374,8.76161,9.3458,8.23145,8.35285
"91",7.75928,7.86743,8.0295,8.03201,7.43041,7.22022
"92",7.10135,7.07803,7.43109,7.28565,6.98193,6.65636
"93",7.71263,7.7535,7.79268,8.02537,8.55874,8.21625
"94",7.31647,7.37163,8.21371,8.13719,7.35442,7.40321
"95",5.13749,5.46246,5.15764,5.4041,5.24352,5.13791
"96",5.77365,5.99785,6.05934,6.18541,5.58386,5.4996
"97",6.05348,5.96914,6.32017,5.99551,6.22266,6.96568
"98",6.40675,6.34484,6.60246,6.53796,5.96774,6.10556
"99",4.69034,4.52703,4.88819,4.76461,4.66303,4.55254
"100",4.8988,5.09957,4.84804,4.73893,4.95576,4.97496
"101",7.13911,7.22803,7.42511,7.42507,6.89536,6.84803
"102",6.60197,6.76687,6.67843,6.92552,6.50505,6.46007
"103",6.35954,6.59452,6.42862,6.55051,6.24537,6.11403
"104",5.52225,5.70406,5.9857,5.88512,5.53797,5.24239
"105",5.62407,5.67971,5.88973,5.93021,5.42798,5.35748
"106",5.81439,5.64463,5.80684,5.98379,5.26154,5.48904
"107",6.64514,6.943,7.10206,6.96024,6.50662,6.63571
"108",8.62456,8.72517,7.78962,7.11354,10.5061,10.6878
"109",8.08512,8.18979,7.94916,7.95877,9.05882,8.90675
"110",8.41902,8.6557,8.21093,8.23401,8.251,8.09076
"111",5.72862,5.44159,5.95113,6.38773,5.76396,5.78103
"112",8.07644,8.16534,7.52831,7.21844,7.45471,7.75283
"113",5.93853,6.10112,6.30295,6.23575,5.95647,5.5841
"114",8.81816,8.80595,8.94406,8.43833,8.83439,8.71956
"115",6.3232,6.55678,6.61233,6.76351,6.16367,6.23278
"116",6.04318,6.0527,6.43098,6.17554,5.9593,5.56204
"117",6.43783,6.40134,6.55083,6.75267,6.15435,5.89896
"118",9.31621,9.64765,9.7015,9.89752,9.69761,10.0408
