"","GSM1385013.REP1","GSM1385014.REP2","GSM1385015.REP2","GSM1385016.CTRL","GSM1385017.CBD"
"MKI67",0.93340514,1.1758635,1.0912461,7.7383,6.872136
"TRPV2",-0.52034364,-1.8280483,-1.91190037,4.9487,5.252485
"IL1B",-1.13352337,-0.6106835,-0.57981835,11.4589,12.080408
"IL6",-1.14400982,-0.0904786,-0.14329639,11.0788,10.929585
"NRIP1",0.9996255,2.4341942,1.97795938,8.184,7.253319
"TRIB3",-2.74189918,-1.6715223,-1.53221642,7.6472,9.103322
